sample_id,phonogram
DR1_CJF0_SA1,"[[ 8.765972    8.767024    8.766418   ...  8.584647    8.775867
   8.763186  ]
 [-0.527035   -0.5274011  -0.5270128  ... -1.5348489  -1.3590438
  -0.5253996 ]
 [-0.05868612 -0.05825947 -0.05854465 ... -1.2669711  -1.1121142
  -0.06171225]
 ...
 [-2.4827135  -2.48236    -2.4826498  ... -1.7747526  -1.7774087
  -2.4814181 ]
 [-2.7450619  -2.7450037  -2.7451367  ... -0.29296893 -0.17240219
  -2.7444656 ]
 [-3.5849838  -3.5852795  -3.5850425  ... -4.8246584  -4.8118677
  -3.5873375 ]]"
DR1_CJF0_SA2,"[[11.4893265  13.363951   13.409041   ... 11.502926   10.921816
  10.921616  ]
 [-1.3000498  -2.4139223  -2.4382405  ... -1.3526168  -0.9400579
  -0.9400776 ]
 [-0.4567104  -0.92315876 -0.88942814 ... -1.8531647  -0.45564827
  -0.4555875 ]
 ...
 [-1.4146876   0.6093379   0.62447387 ... -0.45029995 -1.9880445
  -1.9879993 ]
 [-2.2455082  -0.18522145 -0.18491155 ... -0.9250542  -2.4174156
  -2.417681  ]
 [-5.206909   -5.8452263  -5.8443027  ... -6.337093   -4.947391
  -4.946934  ]]"
DR1_CJF0_SI1027,"[[10.859419   10.945448   10.830349   ... 10.081508   10.081426
  10.081238  ]
 [-1.2545371  -1.191689   -1.4707909  ... -0.8093555  -0.809286
  -0.80899286]
 [-1.8859813  -2.1160269  -2.3383644  ... -0.7519741  -0.75193375
  -0.75176036]
 ...
 [ 5.070985    5.6555805   6.2076387  ... -0.22383545 -0.22385743
  -0.2238345 ]
 [-0.0572759  -0.01726352 -0.03623261 ... -1.8089466  -1.8089645
  -1.8091476 ]
 [-6.493225   -6.381111   -6.181696   ... -4.2940044  -4.293971
  -4.2938437 ]]"
DR1_CJF0_SI1657,"[[11.218559   11.089914   10.603857   ...  9.3537655   9.353756
   9.35374   ]
 [-2.382998   -2.321797   -2.1169631  ...  0.27962276  0.27965447
   0.27961743]
 [-0.8705112  -0.81768286 -0.6719459  ... -0.5716752  -0.5716896
  -0.57166207]
 ...
 [-0.73330164 -1.0076158  -1.4596411  ... -2.6954477  -2.6954205
  -2.695447  ]
 [-1.3328662  -1.4197435  -1.4045948  ... -2.958453   -2.9584694
  -2.9584749 ]
 [-5.158871   -5.06834    -4.899258   ... -2.9178905  -2.9178674
  -2.9178567 ]]"
DR1_CJF0_SI648,"[[ 1.31452694e+01  1.32394257e+01  1.33222351e+01 ...  1.06073885e+01
   1.06073914e+01  1.06073914e+01]
 [-2.49061012e+00 -2.55956173e+00 -2.54082489e+00 ... -4.25080925e-01
  -4.25086468e-01 -4.25090224e-01]
 [-7.31952071e-01 -6.84376180e-01 -6.49698675e-01 ... -5.03551215e-02
  -5.03499657e-02 -5.03509045e-02]
 ...
 [ 1.27731144e+00  1.08415699e+00  9.51772571e-01 ... -1.65507102e+00
  -1.65506268e+00 -1.65506935e+00]
 [ 8.29265267e-03 -6.26480952e-02 -8.32486376e-02 ... -2.45869088e+00
  -2.45869970e+00 -2.45868874e+00]
 [-5.87825775e+00 -5.81010056e+00 -5.78032923e+00 ... -4.22730923e+00
  -4.22729301e+00 -4.22730541e+00]]"
DR1_CJF0_SX127,"[[ 9.979056    9.978078    9.979363   ...  9.9939995  10.24716
   9.9698105 ]
 [-1.1246156  -1.1237003  -1.1245161  ... -2.1626158  -2.1052523
  -1.1172822 ]
 [-0.71972513 -0.71969044 -0.71915424 ... -1.5789334  -1.5394518
  -0.7283508 ]
 ...
 [-2.8835945  -2.8839064  -2.884104   ... -0.40606773 -0.33473203
  -2.8680296 ]
 [-2.6968527  -2.697521   -2.697728   ... -0.58671767 -0.66110325
  -2.6928072 ]
 [-3.474959   -3.474064   -3.4741545  ... -5.0097146  -5.005979
  -3.480145  ]]"
DR1_CJF0_SX217,"[[12.653849   12.660751    9.969557   ...  9.935274    9.968318
   9.969188  ]
 [-2.2862084  -2.2685163  -1.023514   ... -1.668149   -1.0230958
  -1.0233455 ]
 [-0.39177176 -0.3568974  -0.21821192 ... -1.0236406  -0.2183727
  -0.21829002]
 ...
 [ 0.28880292  0.11434504 -1.5961848  ... -0.6121075  -1.596434
  -1.5959718 ]
 [-1.3172373  -1.3709284  -1.1290529  ...  0.7801597  -1.1283797
  -1.1290263 ]
 [-5.0309286  -4.966418   -4.448414   ... -5.156493   -4.448618
  -4.448247  ]]"
DR1_CJF0_SX307,"[[12.723509   12.683062   12.73926    ... 10.905858   10.900514
  10.900272  ]
 [-3.0374227  -3.0704875  -3.016759   ... -1.8784384  -1.8698443
  -1.8681285 ]
 [-0.63464403 -0.5399579  -0.47378016 ... -1.0495723  -1.037957
  -1.0352226 ]
 ...
 [ 0.35283583  0.12551424 -0.0638296  ... -3.5208042  -3.5240488
  -3.5238886 ]
 [-2.0413196  -2.0773962  -2.040938   ... -1.5376647  -1.548931
  -1.5515349 ]
 [-5.1920266  -5.0492487  -4.9549284  ... -4.251993   -4.2417083
  -4.239918  ]]"
DR1_CJF0_SX37,"[[12.631252   12.753776   12.782367   ...  9.064524    9.647525
   9.647829  ]
 [-1.03699    -1.0184886  -1.0080643  ... -0.8919345  -0.65599436
  -0.6561994 ]
 [-0.10058375 -0.20761873 -0.16826361 ... -1.3347868  -0.1821214
  -0.18206568]
 ...
 [-0.2145429  -0.04774863 -0.09808934 ... -1.4930665  -2.9799004
  -2.9797459 ]
 [-1.1610564  -1.3942186  -1.4289521  ...  2.9804459  -0.13015877
  -0.1307111 ]
 [-4.995144   -4.9206347  -4.912659   ... -6.470336   -5.1396537
  -5.139344  ]]"
DR1_CJF0_SX397,"[[ 9.720207    9.72525     9.709794   ... 10.278973    9.702299
   9.701777  ]
 [-0.92529255 -0.9268508  -0.92237985 ... -1.5104028  -0.9197633
  -0.9197366 ]
 [-0.01653861 -0.01375495 -0.02094309 ... -1.4097137  -0.02524099
  -0.0254004 ]
 ...
 [-2.5182505  -2.5152018  -2.524132   ... -0.8532151  -2.527605
  -2.5279217 ]
 [-1.6180781  -1.6184909  -1.6174319  ...  0.2914212  -1.6170456
  -1.6169877 ]
 [-4.0285854  -4.030343   -4.0235586  ... -5.3342347  -4.021227
  -4.020789  ]]"
