sample_id,duration_wpau,mean_speed_wpau,mean_speed_wopau
DR1_CJF0_SA1,2.596,13.61139468183365,13.222497690924119
DR1_CJF0_SA2,1.9291875,15.032235073055366,15.032235073055366
DR1_CJF0_SI1027,2.81675,15.361943464475504,15.004688965301654
DR1_CJF0_SI1657,2.585,14.489915801840612,14.098296455844919
DR1_CJF0_SI648,3.3971875,15.306779505105323,15.306779505105323
DR1_CJF0_SX127,1.2780625,17.995990023962058,17.995990023962058
DR1_CJF0_SX217,1.4231875,14.755610205963725,14.755610205963725
DR1_CJF0_SX307,1.1829375,16.770563248193305,15.88790202460418
DR1_CJF0_SX37,1.971875,20.28526148969889,20.28526148969889
DR1_CJF0_SX397,2.18375,13.7378362907842,13.7378362907842
DR1_CPM0_SA1,2.7685625,13.003137910016477,13.003137910016477
DR1_CPM0_SA2,2.222875,15.623205054566341,15.163699023549684
DR1_CPM0_SI1194,2.5154375,15.668891580547898,15.256552328428217
DR1_CPM0_SI1824,3.8785,14.482735920476614,14.219413449195223
DR1_CPM0_SI564,3.5469375,12.749729637429565,12.142599654694823
DR1_CPM0_SX114,2.3834375,15.10423495476596,15.10423495476596
DR1_CPM0_SX204,2.0888125,13.883486430687293,13.883486430687293
DR1_CPM0_SX24,1.816,11.56387665198238,11.56387665198238
DR1_CPM0_SX294,1.8261875,13.442083522946058,12.881996709489973
DR1_CPM0_SX384,1.6756875,11.935399649397636,11.935399649397636
DR1_DAC0_SA1,2.8085,12.674271229404308,12.31214919427847
DR1_DAC0_SA2,2.238125,13.850879642557944,13.850879642557944
DR1_DAC0_SI1261,2.53875,16.895459345300946,16.47307286166842
DR1_DAC0_SI1837,1.975,13.670886075949365,13.670886075949365
DR1_DAC0_SI631,4.795,13.955936536581698,13.474697345665087
DR1_DAC0_SX181,3.64,13.440609307621948,12.84324889394986
DR1_DAC0_SX271,2.0888125,14.84096825349331,14.84096825349331
DR1_DAC0_SX361,2.21325,16.573545106409693,16.07131646682152
DR1_DAC0_SX451,3.53,13.80153110735722,13.51399920928728
DR1_DAC0_SX91,2.0000625,17.49945314208931,17.49945314208931
DR1_DAW0_SA1,3.058125,12.551610239471511,12.22130470685384
DR1_DAW0_SA2,2.4775,12.51261352169526,12.51261352169526
DR1_DAW0_SI1271,4.5770625,12.671882894323597,12.671882894323597
DR1_DAW0_SI1406,2.2575,10.631229235880399,10.631229235880399
DR1_DAW0_SI2036,4.4525,12.577203818079731,12.577203818079731
DR1_DAW0_SX146,2.3700625,14.510149102451255,14.083380011202689
