,start,stop,utterance,duration_s,phone_rate,sample_id
0,3050,5723,she,0.1670625,5.985783763561542,DR1_CJF0_SA1
1,5723,10337,had,0.288375,3.4677069787602948,DR1_CJF0_SA1
2,9190,11517,your,0.1454375,6.8758057584873224,DR1_CJF0_SA1
3,11517,16334,dark,0.3010625,3.3215694415611376,DR1_CJF0_SA1
4,16334,21199,suit,0.3040625,3.28879753340185,DR1_CJF0_SA1
5,21199,22560,in,0.0850625,11.756061719324027,DR1_CJF0_SA1
6,22560,28064,greasy,0.344,2.906976744186047,DR1_CJF0_SA1
7,28064,33360,wash,0.331,3.021148036253776,DR1_CJF0_SA1
8,33754,37556,water,0.237625,4.208311415044713,DR1_CJF0_SA1
9,37556,40313,all,0.1723125,5.803409503083061,DR1_CJF0_SA1
10,40313,44586,year,0.2670625,3.7444418441376084,DR1_CJF0_SA1
0,2260,4600,don't,0.14625,6.837606837606838,DR1_CJF0_SA2
1,4600,8640,ask,0.2525,3.9603960396039604,DR1_CJF0_SA2
2,8640,9520,me,0.055,18.181818181818183,DR1_CJF0_SA2
3,9520,10736,to,0.076,13.157894736842106,DR1_CJF0_SA2
4,10736,15800,carry,0.3165,3.1595576619273302,DR1_CJF0_SA2
5,14579,16474,an,0.1184375,8.443271767810026,DR1_CJF0_SA2
6,16474,21138,oily,0.2915,3.430531732418525,DR1_CJF0_SA2
7,21138,25840,rag,0.293875,3.4028073160357297,DR1_CJF0_SA2
8,25840,29000,like,0.1975,5.063291139240506,DR1_CJF0_SA2
9,29000,33127,that,0.2579375,3.876908165737824,DR1_CJF0_SA2
0,1513,7436,even,0.3701875,2.7013337835556306,DR1_CJF0_SI1027
1,7436,12338,then,0.306375,3.2639738882088944,DR1_CJF0_SI1027
2,12338,16041,if,0.2314375,4.320820955981636,DR1_CJF0_SI1027
3,16041,18300,she,0.1411875,7.082779991146525,DR1_CJF0_SI1027
4,18300,22500,took,0.2625,3.8095238095238093,DR1_CJF0_SI1027
5,22500,24522,one,0.126375,7.912957467853611,DR1_CJF0_SI1027
6,24522,28120,step,0.224875,4.446914952751529,DR1_CJF0_SI1027
7,28120,34882,forward,0.422625,2.366163856847087,DR1_CJF0_SI1027
8,34882,36920,he,0.127375,7.850834151128558,DR1_CJF0_SI1027
9,36920,39160,could,0.14,7.142857142857142,DR1_CJF0_SI1027
10,39160,44901,catch,0.3588125,2.7869709109911165,DR1_CJF0_SI1027
11,45183,46581,her,0.087375,11.444921316165953,DR1_CJF0_SI1027
0,2120,3533,or,0.0883125,11.32342533616419,DR1_CJF0_SI1657
1,3533,8200,borrow,0.2916875,3.428326548103707,DR1_CJF0_SI1657
2,8200,12291,some,0.2556875,3.911024199462234,DR1_CJF0_SI1657
3,12291,15325,money,0.189625,5.273566249176006,DR1_CJF0_SI1657
4,15325,18435,from,0.194375,5.144694533762058,DR1_CJF0_SI1657
5,18435,25984,someone,0.4718125,2.119486024639025,DR1_CJF0_SI1657
6,25984,28960,and,0.186,5.376344086021505,DR1_CJF0_SI1657
7,28960,31000,go,0.1275,7.8431372549019605,DR1_CJF0_SI1657
8,31000,34599,home,0.2249375,4.445679355376493,DR1_CJF0_SI1657
9,34599,36200,by,0.1000625,9.993753903810118,DR1_CJF0_SI1657
10,36200,43480,bus,0.455,2.1978021978021975,DR1_CJF0_SI1657
0,1507,2154,a,0.0404375,24.729520865533228,DR1_CJF0_SI648
1,2154,8357,sailboat,0.3876875,2.5793970659358374,DR1_CJF0_SI648
2,8357,10760,may,0.1501875,6.658343736995422,DR1_CJF0_SI648
3,10760,14520,have,0.235,4.25531914893617,DR1_CJF0_SI648
4,14520,15331,a,0.0506875,19.72872996300863,DR1_CJF0_SI648
5,15331,19840,bone,0.2818125,3.5484586382789973,DR1_CJF0_SI648
6,19840,22475,in,0.1646875,6.072106261859583,DR1_CJF0_SI648
7,22475,24092,her,0.1010625,9.89486703772418,DR1_CJF0_SI648
8,24092,28841,teeth,0.2968125,3.369130343230154,DR1_CJF0_SI648
9,28841,32000,one,0.1974375,5.064893953782843,DR1_CJF0_SI648
10,32000,36223,minute,0.2639375,3.7887757518351886,DR1_CJF0_SI648
11,36223,37640,and,0.0885625,11.291460832745235,DR1_CJF0_SI648
12,37640,40000,lie,0.1475,6.779661016949153,DR1_CJF0_SI648
13,40000,46640,becalmed,0.415,2.4096385542168677,DR1_CJF0_SI648
14,46640,47480,the,0.0525,19.047619047619047,DR1_CJF0_SI648
15,47480,55862,next,0.523875,1.9088523025530901,DR1_CJF0_SI648
0,2231,3757,the,0.095375,10.484927916120576,DR1_CJF0_SX127
1,5045,9232,emperor,0.2616875,3.8213518032003817,DR1_CJF0_SX127
2,9232,12040,had,0.1755,5.698005698005699,DR1_CJF0_SX127
3,12040,12560,a,0.0325,30.769230769230766,DR1_CJF0_SX127
4,12560,16721,mean,0.2600625,3.845229512136506,DR1_CJF0_SX127
5,16721,22680,temper,0.3724375,2.6850142641382786,DR1_CJF0_SX127
