0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
11.682879,11.739983,11.711521,11.812548,11.480378,12.01478,11.927387,10.885502,8.449294,7.5567837,7.1077294,6.990942,6.7716236,6.021513,4.4446144,2.9702756,1.0517826,-0.2599616,-0.3292023,-0.112779886,0.5927272,1.4150875,1.9611518,2.7827897,3.3810039,4.090187,4.4595346,4.365385,4.111031,3.5280375,2.523713,1.8395927,0.74944955,-0.43124944,-1.1898497,-1.6975441,-1.8240248,-1.7283223,-1.5983447,-1.3411863,-0.91677445,-0.47389376,-0.07051119,0.39502192,0.9477587,1.1047702,1.0868843,1.1110017,0.95627844,1.8681505,2.7599514,1.8988943,0.73472166,0.1344979,0.04247506,0.03425148,-0.26176625,-0.45835555,-0.6024422,-0.2974878,0.19490764,1.0189211,1.4304876,1.6675546,1.5094001,1.2561384,0.9433908,0.90044814,1.073534,1.6350973,2.3615165,3.014935,3.9392428,5.4105277,7.174985,7.5715876,7.1400127,6.3993063,5.449625,2.9642005,1.8509133,0.6341531,-0.67882025,-1.4331094,-1.4014813,-1.2814529,-1.1753407,-1.2893485,-1.2200437,-1.2040839,-0.78192353,-0.21818699,0.40113243,0.6892196,1.0572591,1.3858242,1.5232245,1.6299329,1.6696264,1.5752417,1.6542561,1.7797829,1.9286273,2.0813432,2.2813973,3.556855,6.290137,8.135228,9.798849,11.288923,12.093296,12.32223,12.403058,12.329975,12.050509,12.255539,11.487538,12.345423
-1.9616169,-1.9870771,-1.9850239,-2.7114367,-1.9565799,-2.5466638,-2.573708,-2.7074056,-2.6651387,-2.4398072,-2.195837,-2.2210178,-2.3182404,-2.4813032,-2.5304322,-2.3475304,-2.0944886,-1.7567227,-1.2329276,-0.8275656,-0.65149856,-0.5238974,-0.51281106,-0.71886057,-0.98591423,-1.4074657,-2.4539666,-2.8630152,-3.3928509,-3.0438404,-2.774597,-2.5494967,-2.326518,-2.1451216,-2.1313438,-2.3311522,-2.1394587,-1.8317189,-1.5684426,-1.398081,-1.1331921,-0.8645958,-0.70220894,-0.6739719,-0.98736525,-1.2604704,-1.2948967,-1.2576404,-0.9455061,-0.7929151,-1.3161929,-1.5494913,-1.4027619,-1.2125527,-1.0898427,-0.9046093,-0.77798223,-0.79128563,-0.7838745,-0.5402507,-0.32141754,-0.7656952,-1.1767569,-1.2349555,-1.7098366,-2.0730433,-2.3638175,-2.74185,-2.958991,-2.930169,-2.8909187,-2.8535113,-2.8665347,-2.9234424,-2.9932957,-3.0130405,-3.105901,-2.8049135,-2.1256318,-1.6285152,-1.5506134,-1.2841659,-1.3897302,-2.217599,-2.590346,-2.3470976,-1.9408026,-1.6116915,-1.4693885,-1.4156232,-1.3825551,-1.4432714,-1.4098175,-1.3453112,-1.2955496,-1.3222456,-1.4534061,-1.6131095,-1.7316425,-1.766151,-1.732828,-1.6591282,-1.5228648,-1.3629262,-1.3234973,-1.6896298,-2.135582,-2.4559789,-2.610402,-2.6443973,-2.457292,-2.3136759,-2.2310653,-2.3318949,-2.6093175,-2.6046276,-1.9532988,-2.0036018
-0.6266675,-0.5895406,-0.6031065,-0.6167491,-0.7390987,-0.6586993,-0.6542753,-0.8179765,-1.3912814,-1.537293,-1.6020051,-1.6050603,-1.2876085,-1.3436251,-1.515038,-1.878929,-2.295061,-2.280048,-2.7399073,-3.0275998,-3.131679,-3.1419191,-3.097969,-2.9006443,-2.620538,-2.0605454,-1.6066265,-2.117317,-2.280568,-2.391332,-2.557207,-2.5479689,-2.8756564,-2.4190493,-1.8190047,-1.9371994,-2.355078,-2.3430207,-2.174782,-2.046445,-1.8718877,-1.7207252,-1.7099766,-1.8204422,-2.097031,-2.1867146,-1.9540595,-1.2128973,-0.6769234,-0.72006404,-0.6640456,-0.19159392,0.39906412,0.6460469,0.4334888,-0.40052566,-1.1687024,-1.4615908,-1.701642,-2.30622,-2.7063198,-2.959015,-2.654209,-2.4612005,-2.513142,-2.9260416,-3.2588794,-3.1493149,-3.2425308,-3.3676085,-3.4541583,-3.4778323,-3.460583,-3.3750725,-3.1068268,-2.8751,-2.582792,-2.31768,-1.7640417,-1.2032981,-1.2212245,-1.4260892,-1.7184699,-2.0616047,-2.7456431,-3.1027133,-3.1377678,-2.9580116,-2.7853315,-2.6266232,-2.3695695,-2.2495987,-2.1770148,-2.2340078,-2.2963147,-2.274304,-2.1953714,-2.1511195,-2.2565827,-2.6036348,-2.8229866,-3.0438285,-3.2253551,-3.283052,-3.147713,-2.7734056,-2.2156036,-1.9416261,-1.2571132,-0.6182822,-0.43049586,-0.411674,-0.4474001,-0.59738487,-0.7961695,-0.62043756,-0.7362305,-1.1367978
-0.73217374,-0.78559226,-0.74965465,-2.0442555,-0.5766748,-1.4618057,-1.2868137,-1.2851969,-0.86322355,-0.6105332,-0.5413686,-0.5643678,-0.65127635,-0.78538156,-0.7062464,-0.5975417,-0.57262903,-0.5540048,-0.13696465,0.18837509,0.4696309,0.62069905,0.62455,0.488446,0.3936928,0.4364995,-0.04392235,-0.5105635,-1.5850723,-1.3952568,-1.179444,-0.99918455,-0.81272876,-0.6071454,-0.33033878,-0.41133147,-0.7699779,-0.791132,-0.77005917,-0.8487907,-0.9000064,-0.96051884,-1.093277,-1.3517826,-1.7219489,-2.0717804,-2.152862,-1.9327605,-1.0292611,-0.86724275,-1.5090972,-1.6814966,-1.4926186,-1.0949137,-0.4535614,-0.12740645,-0.17890447,-0.51357687,-0.90121293,-1.0782757,-0.8545573,-0.8973247,-0.6152682,-0.09343803,-0.34378058,-0.8543892,-1.486953,-2.1265306,-2.5921402,-2.7280285,-2.7155173,-2.5866904,-2.360327,-2.129465,-1.9776571,-2.060544,-2.321473,-2.1580648,-1.3085022,-0.71213496,-0.6884676,-0.5176469,-0.19472232,-0.34973976,-0.83646756,-1.0355208,-0.9646835,-0.7676381,-0.59168684,-0.5509646,-0.57156825,-0.7514124,-0.87567985,-0.869656,-0.79305977,-0.7238995,-0.722934,-0.85112256,-1.0410826,-1.4658372,-1.7399714,-1.8699782,-1.8682585,-1.658201,-1.343957,-0.75354135,-0.22318962,0.027194083,-0.3451916,-1.3195446,-1.7153841,-1.8338029,-1.8348013,-1.9380395,-2.143957,-2.257267,-0.5832075,-2.1241927
1.1983258,1.2260897,1.1921085,1.8453989,1.0981241,0.9034717,0.5996157,-0.2482095,-0.4818812,-0.736284,-0.6740347,-0.86897755,-1.0421185,-0.88699526,-0.795012,-0.84518874,-0.44532445,0.18468724,0.07353172,-0.11786975,-0.31244874,-0.35597342,-0.37736928,-0.5480647,-0.7412054,-0.8614777,-0.9251276,-0.9609723,-0.7272684,-0.64247096,-0.5636684,-0.8706477,-1.3240591,-1.4847822,-1.5091748,-1.0969992,-0.571854,-0.5286676,-0.61863,-0.7321205,-1.0351806,-1.4212384,-1.7419856,-2.0515451,-2.254539,-2.0947015,-1.9446046,-1.6844358,-0.7813941,-0.015684884,-0.22684446,-0.79151917,-1.2406198,-1.6578941,-2.1959314,-2.2154894,-1.7515571,-1.2514724,-0.75920737,-0.25616512,-0.060212493,-0.514074,-0.8165822,-0.57275057,-0.14541258,0.3465158,0.6452441,0.8246194,0.8800944,0.7746179,0.5074856,0.25197935,-0.24998638,-0.6302135,-0.4131851,-0.26848656,-0.37282747,-0.651368,-1.4378409,-1.833096,-1.9379263,-2.1933146,-2.148341,-1.1545732,-0.2682616,0.06845945,0.15224142,0.018939316,-0.121448725,-0.24284637,-0.5895916,-0.78883886,-0.9689944,-0.85352176,-0.696812,-0.6250042,-0.55124694,-0.49630827,-0.4566807,-0.2872864,-0.23866925,-0.17365888,-0.07831336,-0.039298676,-0.1079773,-0.31513453,-1.0035257,-0.92270064,-0.42488348,0.030646712,0.086694926,0.07241556,0.04152465,0.17063504,0.5912162,0.8221224,1.1023023,0.3032342
-2.0990913,-2.107809,-2.0684252,-2.338675,-2.05148,-1.9685292,-1.9278734,-1.697161,-1.3481264,-1.4898603,-1.4959271,-1.3305285,-1.025034,-0.77893555,-0.21830896,0.20146435,-0.025878161,-0.36737537,-0.31969446,-0.32004336,-0.30978465,-0.2530934,-0.23435056,-0.31855357,-0.55204993,-1.0800881,-1.5680845,-1.9186933,-2.682078,-2.5210915,-2.2073596,-1.678896,-0.4363535,-0.41326696,-0.58139086,-0.3951335,-0.29171726,-0.23134059,-0.16597307,-0.19183,-0.21302168,-0.2233729,-0.1653617,-0.08790253,-0.013793942,0.3817219,0.68545985,0.59498644,-0.15281138,-1.701853,-2.693582,-2.479988,-2.0147824,-1.1505083,0.04533577,0.47738433,0.52822334,0.5345209,0.8537346,1.3710201,1.4371247,0.5442484,-0.35178474,-1.131463,-1.157726,-1.0026869,-0.6731569,-0.47264555,-0.4173357,-0.5606821,-0.71324754,-0.8915498,-1.231236,-1.7858064,-2.5346785,-2.551645,-2.0047164,-1.6012533,-1.6437201,-1.3670471,-1.0145177,-0.40002424,0.5983104,0.34436595,-0.21094722,-0.088160604,0.19874245,0.4033308,0.31610924,0.28868833,0.22076559,0.025904,-0.14228213,-0.2768976,-0.4909411,-0.7412688,-0.9060662,-1.0769122,-1.1760094,-1.3091595,-1.4436151,-1.5861051,-1.7447164,-1.9461054,-2.091754,-1.9966812,-1.8498151,-2.417993,-2.8390455,-2.5983033,-2.5665498,-2.553256,-2.410706,-2.2488775,-2.1195812,-2.3813996,-2.0522332,-2.443274
-1.7776144,-1.8479555,-1.8167113,-3.6252742,-1.5506997,-3.194347,-3.0013595,-2.0597363,-1.2898855,-0.8728336,-0.40187454,0.9306309,0.9297459,1.4673446,2.5105367,3.9940243,7.7157235,10.751785,11.437724,11.626388,11.558522,11.33639,11.096186,10.868176,10.633656,10.146298,9.009836,7.4863844,1.7730563,-0.2538894,-0.33526254,-0.048664704,1.5248363,2.2469602,1.589488,1.945873,2.6942706,2.8188,2.7510061,2.6341255,2.4099865,2.1373205,1.93279,1.641295,1.2063918,0.7006296,0.40507913,0.18905109,0.21624804,-0.24378721,-0.84885967,-0.869846,-0.6247737,0.008439571,1.7873137,4.5582676,7.4587126,9.032654,10.01103,10.482273,10.57218,9.786093,8.77498,7.2031116,5.680906,5.444317,5.9283376,6.158433,6.089657,5.829712,5.497883,5.0934076,4.273161,3.3051944,1.7049496,0.5946113,0.08149555,-0.5979372,-1.2614607,-1.1624755,-0.11642469,2.1148973,6.0663357,9.496717,10.578846,10.914215,11.100447,11.26153,11.362177,11.461086,11.479467,11.367091,11.01223,10.626021,10.118174,9.564902,8.987564,8.247006,7.498416,6.288323,5.3977413,4.5766296,3.6970437,2.7928228,1.9613955,0.96611303,-0.21101375,-1.2676697,-2.1469631,-2.6428351,-2.8294804,-2.932324,-3.068574,-3.1270156,-3.1624238,-3.140093,-1.5731492,-3.0432925
-0.30274883,-0.32813266,-0.3067618,-0.2619851,-0.2671189,-0.102211446,-0.08739686,-0.3755608,-0.49991953,-0.3712408,-0.22161435,-0.11886868,-0.20144872,-0.18300189,0.122528434,0.26409552,0.1754258,0.27953017,0.8211489,1.1614225,1.5017457,1.537498,1.469183,1.2865932,1.009801,0.73833704,-0.5375624,-1.0961492,-1.1097801,-0.3911057,0.24907772,0.9157425,1.2689339,0.9410995,0.7092633,-0.06495863,-0.62596524,-0.7824118,-0.75438845,-0.79059714,-0.6103057,-0.3767899,-0.12067205,0.26317227,0.6575573,0.9922338,1.193712,1.0782932,0.6478929,0.40123424,-0.32501417,-0.96344286,-0.97297835,-0.62011486,-0.13318545,0.22370392,0.19608156,-0.11525356,-0.23567262,0.281708,1.2723813,1.93365,1.9060404,1.8910228,1.8410437,1.7784952,1.5533684,1.1416872,0.69622976,0.69440764,0.885352,1.2038332,1.4492694,1.2710263,0.89807546,0.57309043,-0.2868607,-1.090041,-0.6713896,-0.0037533417,0.32641298,1.0000446,1.8023463,1.4187552,0.6725922,0.40408537,0.33727086,0.3226222,0.34417275,0.12809362,-0.34916073,-0.7710496,-1.0893788,-1.1821522,-1.2357895,-1.32277,-1.4158157,-1.4933592,-1.5057278,-1.4590749,-1.3352184,-1.0862279,-0.7507976,-0.25089467,0.1230638,0.6600163,1.0530424,0.92022794,0.06567404,-0.7597793,-0.5825915,-0.47360268,-0.31234694,-0.36130783,-0.5380035,-0.8400175,-0.2708999,-0.97614074
-2.0276961,-2.0046782,-2.028368,-1.1095642,-2.0932794,-1.3561027,-1.4463608,-1.7035116,-2.1310072,-2.017875,-1.6782757,-1.339684,-1.4623153,-1.4035082,-1.3010072,-0.7264929,0.8301502,2.3331504,2.8672156,2.7604783,2.4638665,2.4306808,2.565889,2.2822967,1.8650941,0.8431217,-0.15569408,-0.6689796,-0.93418854,-0.9796659,-0.8313503,-0.8266965,-0.8551593,-0.75940895,-0.7971344,-0.98407924,-0.7901038,-0.9313749,-1.1197258,-1.1640449,-1.1221057,-0.9678302,-0.6748734,-0.16690442,0.5183782,1.0567176,1.2879596,0.950506,-0.063373506,-0.4755162,-0.7618874,-0.6959712,-0.6669726,-0.44178286,0.287765,1.1870061,2.1920137,2.8104775,3.499392,4.11454,4.054518,2.9817753,1.3984163,0.13968992,-0.26514587,-0.22811979,-0.056480348,0.102866605,0.4160984,0.54279345,0.5435233,0.40189004,0.3341395,-0.17583331,-0.883175,-1.2228148,-1.4482162,-1.5642647,-1.2042542,-0.8216754,-0.48314908,-0.05102694,0.57320344,0.95325553,1.4523779,1.6865652,1.7539618,1.6783969,1.3367803,0.9605887,0.375882,0.04188713,-0.19167425,-0.29533482,-0.36587423,-0.3262378,-0.22276756,-0.02899018,0.15530878,0.3943962,0.418556,0.31432056,0.11132723,-0.23501545,-0.52157533,-0.83118916,-1.0828792,-1.3538998,-1.5934833,-1.5759184,-1.6656431,-1.7363111,-1.8031706,-1.7944212,-1.7353711,-1.794956,-2.0944982,-1.2483088
-2.676772,-2.6909206,-2.6533315,-3.835612,-2.6109807,-3.318627,-3.1197722,-2.491646,-2.0263815,-2.0593452,-2.1682413,-2.4384942,-2.6719623,-2.651009,-2.687921,-2.6013439,-1.6617258,-0.8191727,-0.32036746,-0.012183189,-0.07591426,-0.15459204,-0.28910664,-0.6467618,-1.0565405,-1.6846366,-2.43569,-2.7266378,-3.376421,-3.1208313,-2.9985294,-2.9329576,-2.0864344,-1.3054441,-0.7794472,0.50830036,1.579658,1.9884676,2.199837,2.2199285,2.055215,1.7166867,1.3274461,0.73083127,-0.035796583,-0.4188758,-0.38949665,0.11431369,0.12040636,-0.9569846,-2.1152759,-2.1361544,-1.8384197,-1.6730494,-1.550962,-1.4732206,-1.3517072,-1.2609813,-1.1166217,-0.94496846,-1.0913736,-1.6315386,-2.1716294,-2.3752484,-2.5724359,-2.4973943,-1.949516,-1.2786415,-0.9604248,-0.91401505,-1.0694678,-1.2929856,-1.8692546,-2.4963017,-3.109059,-3.3481655,-3.5424209,-3.4230819,-3.2726877,-2.9381986,-2.7281623,-2.4611623,-1.7963022,-0.27234778,0.9643431,1.486825,1.6014651,1.574018,1.601719,1.5611082,1.3146151,1.2453284,0.9885341,0.76377094,0.37294176,-0.13244344,-0.68863904,-1.2152171,-1.5654927,-1.7891296,-1.8753697,-1.9125459,-1.9266777,-2.010993,-2.2465985,-2.8342416,-3.3390357,-3.0555596,-2.6311042,-2.1899133,-2.1824107,-2.1090953,-2.114233,-2.0336032,-1.9517058,-2.0773962,-2.6075244,-2.5262911
