0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
12.067506,11.911011,11.758587,11.5217905,11.344956,10.775532,9.47547,8.407658,7.387621,6.580643,6.146329,6.0659246,5.974516,5.070357,4.542671,4.396682,4.4475956,4.505537,4.672654,4.74009,4.832045,4.978209,5.1803923,5.7295876,6.074029,6.4274344,6.4297886,5.7029953,4.2100677,2.9946322,2.4962983,2.2657366,0.91127294,-0.9060487,-1.543827,-1.6563966,-1.7314628,-1.7316144,-1.6315665,-1.4910939,-1.2639899,-1.1569397,-1.0530485,-0.7964998,-0.5802791,-0.20746723,0.06191214,0.06553416,-0.08422485,-0.102681816,-0.04478985,0.84861034,2.134573,2.5956664,2.7510557,2.440813,1.892229,1.7324322,1.6082115,1.5177665,1.7218907,1.5638645,1.0831015,-0.011431664,-1.2054244,-0.69457006,-0.111826405,-0.031650335,-0.15753561,-0.42633903,-0.18374312,0.36224365,0.83686304,1.2110398,1.3313878,1.3972756,2.1681874,2.2011147,1.8384497,1.4309855,0.76222676,0.7775667,0.4578644,0.24887317,0.14594762,0.074573554,0.36715612,0.36694708,0.28630626,0.23845571,0.048702702,-0.02062805,-0.19802004,-0.34489644,-0.35453492,-0.3362723,-0.41464236,-0.76873386,-0.53303206,0.40886104,1.0400188,1.2625666,1.3148804,1.5069035,1.6021748,1.7740499,1.8211948,2.0014532,2.3924832,3.2329345,4.2777967,6.048951,7.4267864,8.84987,9.423563,10.25064,10.671339,11.12809,10.128706,11.598606,10.253221,10.129228,10.128468
-2.6757288,-2.3985906,-2.2370658,-2.072714,-2.003581,-2.1361575,-2.3884263,-2.688965,-2.947587,-2.929893,-3.0553732,-3.0903242,-3.1397922,-3.2472527,-3.196525,-3.2791467,-3.295682,-3.328981,-3.254916,-2.9437814,-2.532151,-2.2677343,-2.0153668,-1.6924809,-1.5202599,-1.5148811,-1.4451994,-1.264215,-0.88957787,-0.6095621,-0.5718086,-0.47368273,-0.3167253,-0.5559105,-0.7254068,-0.5875859,-0.34786487,-0.11403982,0.15579045,0.26006305,0.33730388,0.43033808,0.37388825,0.28650308,0.14832416,-0.013714284,-0.10853455,0.12077388,1.264838,3.928083,7.2863092,8.814058,8.982761,8.569074,7.8581223,6.9767036,4.6658707,1.7498674,-0.4568692,-1.5999146,-1.832941,-1.9334959,-2.0091696,-2.0398102,-2.782249,-3.4328494,-2.4665167,-1.0835216,-0.04117769,0.9463727,1.742936,2.330595,2.146113,1.9674637,1.3230588,-0.055506356,-1.5772839,-2.1579204,-2.33461,-2.3545628,-2.613884,-2.8210297,-2.6854892,-2.1285377,-1.8903518,-1.998887,-2.1575465,-2.4018426,-2.6063147,-2.8216894,-2.849319,-2.7579618,-2.6444235,-2.5272503,-2.410378,-2.3932223,-2.3160253,-2.2419236,-2.1717463,-2.4359138,-2.6636603,-2.6981359,-2.7006602,-2.682549,-2.678098,-2.7193913,-2.705501,-2.7021692,-2.7238116,-2.7663498,-2.71948,-2.6273391,-2.7106185,-2.9214678,-2.9753568,-2.7515655,-2.6202426,-2.4754858,-1.3046558,-2.1601913,-1.3359753,-1.3047554,-1.3045793
-0.9315021,-1.0150688,-1.0907894,-1.2319565,-1.3873689,-1.4512622,-1.4212956,-1.3842406,-1.2755339,-1.2690308,-1.4935608,-1.7132387,-1.708134,-1.4172001,-1.2748203,-1.1457502,-1.150216,-1.3122144,-1.5943228,-1.8852043,-2.1991272,-2.4723458,-2.6439958,-2.7408004,-2.8651881,-2.9837236,-3.1283245,-3.4245157,-4.183691,-4.8462543,-5.1432357,-5.11138,-4.52543,-3.9814394,-3.4311533,-3.1499443,-2.9195015,-2.7723994,-2.544641,-2.2092907,-1.9291961,-1.8293751,-1.6425059,-1.5505234,-1.5935838,-1.8386726,-2.0268188,-2.1478808,-2.209799,-2.2685366,-2.5089931,-2.4277015,-2.1804142,-1.9168379,-1.6582577,-1.3629675,-0.41403687,0.23919699,0.62536967,0.758309,0.871094,1.207788,1.3026397,0.9786757,-0.12187245,-0.98620903,-2.14297,-2.680764,-2.8457663,-3.2153926,-3.4401898,-3.311067,-2.9244752,-2.4468975,-1.6266109,0.0504753,1.3375468,1.198749,1.1094831,0.9873258,0.28537503,-0.23620707,-1.0427315,-1.9178982,-2.184111,-2.1362002,-2.165452,-2.1831288,-2.2107072,-2.4551451,-2.8363256,-3.0856564,-3.1833978,-3.2651184,-3.3847945,-3.3563383,-3.059463,-2.1829724,-1.4353833,-0.5514815,-0.13164021,-0.11270003,-0.3064236,-0.39920598,-0.50103486,-0.5698853,-0.6033925,-0.5755663,-0.70043176,-0.73660827,-0.8832114,-0.9952743,-1.2269418,-1.5214729,-1.8379661,-1.9806306,-2.022952,-1.8870763,-0.2551576,-1.8801074,-0.28630674,-0.25536847,-0.25512838
-2.616878,-2.2083266,-1.9222596,-1.6599063,-1.2686038,-0.7928883,-0.6213111,-0.47035128,-0.36238548,-0.22837026,-0.3774767,-0.4782648,-0.75599945,-1.00475,-1.0255467,-1.0972912,-1.1025738,-1.1630642,-1.2602118,-1.3883244,-1.5519395,-1.8030704,-1.9235146,-2.1354468,-2.3000302,-2.377736,-2.2938974,-2.0532753,-1.688753,-1.3044885,-1.1994911,-1.1294879,-0.80719215,-0.9433414,-1.2709973,-1.3546417,-1.3086894,-1.2549084,-1.1998315,-1.2370847,-1.3113284,-1.3437852,-1.3033674,-1.1363151,-0.8865918,-0.7163472,-0.48947394,-0.45009038,-1.0313444,-1.1710451,-0.9778128,-0.43473303,-0.6091193,-1.1832896,-1.7579476,-1.857317,-1.994633,-2.4742906,-2.5968187,-2.5483413,-2.539455,-2.4666696,-2.2267642,-1.8956313,-1.7900425,-0.6329131,0.4675688,2.2629814,4.072715,5.987813,7.4549274,8.353088,8.627989,8.540717,8.247781,6.6598973,2.8339748,0.95115983,-0.30021155,-0.7286638,-1.535256,-1.8683703,-1.8141681,-1.5380917,-1.5026202,-1.5513165,-1.656297,-1.72494,-1.7515905,-1.8853812,-2.1372697,-2.2874255,-2.3711972,-2.3207097,-2.3750036,-2.4575133,-2.407662,-2.2679555,-2.1223361,-2.25423,-2.30259,-2.407607,-2.5231094,-2.5840986,-2.6400862,-2.6588237,-2.644719,-2.6051133,-2.6436844,-2.7537994,-2.7828372,-2.6792266,-2.5680614,-2.348512,-1.9507829,-1.6712854,-1.5737695,-1.6195782,-0.21289831,-1.6043649,-0.3219048,-0.2131708,-0.21257576
-0.59067523,-0.9117069,-1.1338003,-1.4324373,-1.529989,-1.9630367,-2.1647015,-2.3260992,-2.544262,-2.7728863,-3.0299854,-3.117861,-2.9814992,-2.6316428,-2.5115561,-2.423454,-2.3424702,-2.0873406,-1.8206815,-1.6957351,-1.593952,-1.5321373,-1.6087346,-1.7315384,-1.5929884,-1.2814357,-1.1257564,-1.0667328,-1.1345971,-1.1644961,-1.3413103,-1.3433425,-1.1654608,-0.4450027,0.11366747,0.28168604,0.28334388,0.20720561,0.0852155,-0.10116123,-0.19248609,-0.19551845,-0.49527556,-0.8107619,-1.0380023,-1.1488464,-1.1349144,-0.8451658,-0.39752966,-0.25312364,-0.46679798,-0.6912825,-0.31743175,-0.17202649,-0.07667718,-0.24677762,-0.86663544,-1.1247602,-1.1031452,-0.9641453,-0.84919363,-0.92786646,-0.87831783,-0.5373537,1.0770626,2.4396942,3.0220127,3.0218463,2.7861786,1.8480016,0.20970535,-0.8710834,-1.2417374,-1.5224084,-1.6434276,-1.6184051,-1.7062991,-1.5834658,-1.3866208,-1.3377397,-1.4666681,-1.3421557,-1.1548367,-1.0401961,-0.88784134,-0.4826841,0.018267691,0.6604301,1.1316953,1.7385197,2.2464175,2.4547973,2.4969363,2.444037,2.2878256,2.116579,1.699734,-0.11817609,-1.5468172,-2.310361,-2.4467447,-2.1961577,-1.9407864,-1.8621744,-1.7421472,-1.7681124,-1.7809246,-1.8314431,-1.7246152,-1.5296507,-1.1507506,-0.5390837,-0.20022416,0.15635377,0.010915741,-0.4412523,-0.70439464,-0.89247364,0.006349653,-1.1235335,0.08670461,0.0068014264,0.0061222017
-1.4831922,-1.5563954,-1.5107335,-1.5554174,-1.4802616,-0.98244786,-0.35315794,-0.15656337,0.23727673,0.5657108,0.80432904,0.87506026,1.1490575,1.7409966,1.8853078,1.9185468,1.8395786,1.721038,1.8466384,2.0064616,2.1051576,2.0365422,1.9276397,1.4763962,1.1107409,1.0090928,0.9924808,0.9421086,1.6776097,1.9650363,2.785512,2.7296243,2.2878675,1.5014495,0.46625376,-0.06831181,-0.37661704,-0.48771268,-0.49330786,-0.39051247,-0.35703522,-0.25361502,-0.018720582,0.071015924,-0.028741807,-0.35040992,-0.78142405,-1.0246332,-1.2910101,-1.372182,-1.0902641,-0.62306726,-0.40943304,-0.49453276,-0.822249,-1.3823973,-2.2716131,-2.8182588,-2.7601364,-2.8471954,-2.9032981,-2.8887746,-2.6237173,-1.9872475,-1.4794102,-1.9554257,-1.9979038,-1.9537904,-1.9452937,-1.6660249,-1.3414402,-0.8366124,-0.4373243,0.04070443,0.22982875,-0.0945594,-0.6345011,-0.52737904,-0.33161792,-0.10392746,0.5009802,0.4920948,0.6795198,0.68858355,0.92549145,0.95910287,0.7155999,0.3158918,-0.06334622,-0.5281979,-0.72928226,-0.7988292,-0.8603008,-0.89376426,-1.0738792,-1.252381,-1.5684942,-1.8523489,-2.04929,-2.6512623,-2.9807208,-3.0997667,-3.0138497,-2.9456315,-2.9102077,-2.860836,-2.8286319,-2.7898893,-2.7126822,-2.6597352,-2.7331104,-2.8620431,-2.7691185,-2.8368936,-2.588419,-2.3206148,-2.1783965,-1.9591088,-0.5488961,-1.6246517,-0.70209783,-0.5497658,-0.54851866
-1.8158138,-1.6527972,-1.5273618,-1.3778802,-1.5343184,-1.4237269,-1.1545483,-1.0423849,-0.8461617,-0.4043489,0.517372,1.0286804,1.4237671,1.5451974,1.569824,1.4322175,1.1516664,0.69035137,0.29939428,0.11594342,-0.17789307,-0.5518788,-0.73863524,-0.9341919,-0.99493355,-1.058092,-1.104805,-1.0767617,-0.58622694,-0.012439817,0.42900062,0.77315515,1.5459766,2.6102047,2.9905024,2.9445477,2.818911,2.688501,2.4623306,2.1662686,1.98628,2.0428586,2.157686,2.0413437,1.7801912,1.2787502,0.9203551,0.58951986,0.24194834,0.08483042,0.323434,0.042944357,-0.64220876,-1.2250706,-1.4893947,-1.5860243,-1.7243357,-2.016346,-2.1504421,-2.3447292,-2.4557736,-2.499383,-2.4485915,-2.1130865,-0.9428821,0.020698458,1.0010171,1.1493022,0.80911654,0.34819162,0.2999157,0.37018186,0.16117787,-0.3978104,-1.0544051,-1.8546159,-2.5547419,-2.5259943,-2.199619,-1.9415293,-1.3526767,-1.0943978,-0.7138752,0.1390781,0.43888664,0.51286876,0.38780385,0.11535849,-0.0812823,-0.2624336,-0.28222632,-0.25872433,-0.31147587,-0.30924955,-0.2686795,-0.34084132,-0.56069636,-0.692751,-0.86740524,-1.3643756,-1.7805517,-1.9844482,-1.9680145,-1.959855,-1.925277,-1.9439487,-1.9953699,-2.0577443,-2.2120755,-2.3572397,-2.5186625,-2.6548586,-2.7416608,-2.6259632,-2.2424462,-1.8995564,-1.7878385,-1.6930063,-1.8533344,-1.6570103,-1.8954511,-1.8536351,-1.8532515
-1.156333,-1.2799027,-1.3537784,-1.4641322,-1.2451588,-1.05381,-0.82155854,-0.89762765,-0.8748615,-0.7160605,-0.8744241,-1.0605006,-1.4882329,-1.9513788,-2.0475423,-2.1489573,-2.13675,-2.0627332,-1.9557672,-1.8871835,-1.7113292,-1.4118613,-1.0853386,-0.896192,-0.7333852,-0.63094187,-0.41476148,-0.17676088,0.05221428,0.73295444,0.8998363,0.9556304,0.77562267,0.15493393,-0.33039445,-0.37568283,-0.20730662,-0.0096457,0.2305212,0.32044482,0.22932303,0.15329373,0.5277008,0.9142393,1.2507782,1.4631542,1.7229617,1.9973775,2.1487827,2.8173475,4.899478,7.298256,7.908898,7.607115,7.115883,6.5059156,4.74741,1.8551979,-0.36747515,-1.158783,-1.1510808,-0.9295738,-0.39309677,0.39216217,-0.32113984,-1.5569427,-0.90847373,0.4098453,1.3693256,2.7659867,4.3145304,5.31417,5.57605,5.618935,5.1652594,3.1304407,0.69249815,-0.22074544,-0.4735179,-0.51081806,-0.23330957,0.10148342,0.6139703,0.97896385,0.6977199,0.25424445,-0.24778368,-0.72876036,-0.9995688,-1.0789951,-0.88260317,-0.6554305,-0.35698283,-0.02598703,0.24469414,0.3870611,0.54953957,0.31053647,-0.11153072,-1.0276405,-1.5503294,-1.7986993,-1.8148106,-1.730504,-1.7078829,-1.6925116,-1.5747762,-1.4425827,-1.1763225,-1.1522583,-0.97580326,-0.93351394,-0.9028563,-0.91150683,-0.7174318,-0.5118993,-0.35142565,-0.42195165,0.002148211,-0.55385846,0.0025761724,0.0020634532,0.0019777417
-0.5329414,-0.5359227,-0.58110166,-0.50418735,-0.40736738,-0.3756894,-0.2952158,-0.045955107,0.06239838,0.2916588,1.1269279,1.6206592,1.2780719,0.19826856,-0.14837426,-0.19404826,-0.0028571151,0.067850485,0.06773017,0.044679333,-0.15890324,-0.1114112,-0.12172009,-0.2829244,-0.4137723,-0.5874618,-0.5638729,-0.43367574,-0.25306812,-0.056505345,0.15884113,0.08237524,-0.3725984,-0.6656507,-0.41880167,-0.26490054,-0.14389208,-0.03822291,0.006544143,0.07747561,0.16382667,0.21691245,-0.19540954,-0.5748684,-0.60638726,-0.068965614,0.5449416,1.0776752,1.3131027,0.9945276,0.1521523,-0.4129291,-0.70746565,-0.9071292,-1.0232584,-1.0636994,-0.9059092,-1.3073232,-1.5384219,-1.6057185,-1.6595453,-1.6862576,-1.6639867,-1.428371,0.19795355,1.4363298,2.305228,2.1912827,1.8304515,1.2901956,0.54883826,-0.08289598,-0.49453858,-0.7903156,-1.1874235,-1.4760766,-1.8221517,-1.8811538,-1.7813197,-1.7420936,-1.2704389,-0.8514925,-0.4111207,0.20993687,0.27437675,0.16043091,0.0828846,0.06195691,0.22995014,1.2215405,2.5776708,3.3328128,3.617009,3.694212,3.890338,3.7884226,3.442298,2.8805811,2.0450358,0.37412,-0.6655723,-1.1050754,-1.1294645,-1.070253,-1.035745,-0.9969089,-0.9430802,-0.92237145,-0.8583296,-0.89557874,-0.7945209,-0.61289614,-0.3385875,0.29116446,0.76207393,0.76832205,0.52079374,0.1436942,-1.1436751,-0.08917996,-1.108593,-1.1437126,-1.1438197
-2.783392,-2.6022427,-2.5176373,-2.4667697,-2.3171074,-2.361918,-2.8166919,-2.9339526,-2.983464,-3.1293242,-3.2629867,-3.2674327,-2.9346786,-1.9337889,-1.5588815,-1.2672789,-1.0276035,-0.7543535,-0.742566,-0.954118,-1.3561221,-1.9121251,-2.344443,-2.6598558,-2.8397179,-2.6462216,-2.4148495,-2.1009088,-1.5069417,-1.1923109,-0.9900337,-0.65587234,0.40406084,1.767336,2.524581,2.6916442,2.6477158,2.5374823,2.4051447,2.2961335,2.2616231,2.1580825,1.9083152,1.7586981,1.5343523,0.43009752,-0.96052897,-2.4413729,-3.1570268,-3.1497207,-2.939622,-2.9372783,-2.3803434,-2.1251245,-1.9290025,-2.0284138,-2.5722673,-2.7716591,-2.6363835,-2.5189726,-2.6454277,-2.895533,-3.0719175,-3.1310492,-2.6307485,-1.4697347,-1.0051355,-0.8827158,-1.0585873,-1.7577697,-2.7358122,-2.9306996,-2.77659,-2.691646,-2.909213,-3.627317,-3.963404,-3.6759307,-3.1002402,-2.7383811,-2.471891,-2.666999,-2.7607563,-2.5510879,-2.2439365,-2.3548102,-2.5644717,-2.7099361,-2.780798,-2.978065,-2.9270077,-2.92162,-2.9009829,-2.907001,-3.0535731,-3.2191556,-3.5104904,-3.951246,-4.041778,-3.7325907,-3.2838373,-2.7489128,-2.4626336,-2.4491792,-2.3897595,-2.421362,-2.4856863,-2.5967631,-2.647869,-2.6012154,-2.672406,-2.8601847,-3.0236168,-3.2096334,-3.530261,-3.6957304,-3.7533028,-3.7020934,-2.6121762,-3.5410795,-2.6611671,-2.6124532,-2.6120217
