0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
12.391641,12.230256,12.076096,11.10004,8.958059,6.4379883,5.2311726,4.634775,4.2390475,4.1094875,3.0944662,2.395854,1.4544928,0.7253246,-0.09422207,-0.7679778,-1.1143308,-1.0744363,-0.90975916,-0.7882458,-0.62259865,-0.5058204,-0.42807236,-0.35171577,-0.21909538,0.11771262,0.5868931,0.88806146,1.2569315,1.8549218,2.616871,3.7231693,5.559217,6.8453403,7.4517107,6.894451,5.237322,4.8905277,4.338578,4.1969004,4.2320023,3.1720498,1.3909738,-0.16621953,-1.0329208,-1.4831259,-2.043382,-2.1274297,-2.0954206,-2.0430968,-1.8581601,-1.6101904,-1.2401783,-0.5634922,0.07826775,0.9019943,1.6215175,1.9255586,0.96963555,0.22582161,0.41525382,1.4158001,3.0324273,4.063537,5.0378766,5.7563095,5.487216,5.2824974,4.9661255,4.5128994,3.924038,3.508655,3.350309,3.159247,2.7571788,2.3134067,1.8743466,1.4493668,1.2408892,1.1493127,1.1739764,1.1981819,1.0630579,1.0174754,0.96022487,0.89221835,0.7730663,0.6840043,0.4851992,0.23576865,0.14925732,0.19174658,0.45644414,0.50553787,0.6436793,0.84132147,0.7178421,1.4678282,2.3095374,2.8727646,3.122592,3.4029975,3.8636773,4.4469614,5.202094,5.7000103,5.930806,5.954759,6.8916893,7.562747,8.401383,8.966897,9.403745,9.899954,10.336114,10.496342,10.792814,11.212453,9.934601,9.9343405
-3.135293,-3.1628144,-3.065546,-2.8032858,-2.5801835,-2.5807757,-2.4517255,-2.3853874,-2.310901,-2.3259463,-2.155398,-2.1525347,-1.959011,-1.7500196,-1.8283973,-1.9213008,-2.110874,-2.2401545,-2.2076817,-2.158015,-2.1390536,-2.1822886,-2.281636,-2.4463809,-2.5800667,-2.699472,-2.7924645,-2.725757,-2.478313,-2.2890496,-2.243196,-2.5420184,-3.230135,-3.7902584,-4.4412975,-4.602209,-4.3803406,-4.246041,-4.012071,-3.742737,-3.6799662,-3.6240802,-3.5363731,-3.9383502,-4.0680265,-3.892431,-3.1131082,-2.5815687,-2.3332129,-2.1993008,-2.0322404,-1.9275105,-1.6548355,-1.3194318,-1.3069417,-1.3172047,-1.1762642,-1.4432377,-1.6887108,-1.8310214,-1.8614517,-2.0766916,-2.6005354,-2.9334528,-3.189119,-3.2279372,-2.9142165,-2.4802437,-2.2493453,-2.1215327,-1.7861984,-1.439656,-1.0883393,-1.0314496,-1.2865462,-1.6324284,-1.7983944,-1.783978,-1.7319407,-1.639791,-1.5955979,-1.6061847,-1.5200953,-1.5212836,-1.5691888,-1.6683824,-1.749872,-1.822578,-1.86414,-1.9023312,-1.9587668,-2.0320742,-2.0045896,-1.9185524,-1.7886463,-1.4372289,-0.41273805,0.8154207,1.5048056,1.4252051,1.0943818,0.8869901,0.41491032,0.06580502,-0.19534403,-0.5304414,-0.6242744,-0.37844154,-0.3873285,-0.6996901,-1.2390964,-1.6769214,-1.8973587,-2.1716266,-2.3985596,-2.3510928,-2.2083194,-1.9759443,-0.6105804,-0.61054516
-1.2191995,-1.3621461,-1.4056315,-1.5876207,-1.3387758,-1.0041672,-0.7632967,-0.6020662,-0.6684461,-0.59868324,-0.36543727,0.08430281,0.10249203,-0.058268115,-0.26241723,-0.5864114,-1.1492237,-1.6780455,-2.0960474,-2.310751,-2.3214219,-2.24574,-2.2589197,-2.432435,-2.3571334,-1.9800231,-1.7065203,-1.4887176,-1.7467799,-2.189353,-2.3225756,-1.9892657,-1.5485197,-1.5170193,-1.4206103,-0.7587674,-0.35739905,-0.3636475,-0.36917531,-0.23053738,-0.39664727,-0.9641933,-1.454653,-1.6819043,-1.382005,-1.792309,-2.6034117,-2.725514,-2.727376,-2.7443275,-2.7712123,-2.9140666,-3.1270025,-3.294444,-3.1187863,-2.5322723,-1.9005514,-1.0785311,-0.8504113,-1.0029966,-1.0333287,-0.5693556,0.28159434,0.2661229,-0.23139833,-0.66697085,-0.80273235,-1.2893227,-1.607516,-1.6406184,-1.7272363,-1.8520529,-1.7178855,-1.5715137,-1.233545,-1.1668434,-1.3170677,-1.4427645,-1.5279422,-1.5564952,-1.563523,-1.572536,-1.6102074,-1.636862,-1.6463029,-1.6556621,-1.6482437,-1.6441593,-1.6109331,-1.6383765,-1.6751575,-1.7893581,-1.9871762,-2.2653124,-2.5804389,-2.6227777,-2.4778614,-2.2652643,-2.4975543,-2.6529846,-2.6907108,-2.6799257,-2.6778383,-2.7302685,-2.9104717,-2.8212466,-2.5802596,-2.4970398,-2.3192134,-2.2244902,-2.1145935,-2.158955,-2.200139,-2.2739348,-2.4384098,-2.4538264,-2.3914924,-2.2357008,-0.6656064,-0.6651943
-3.1963434,-3.1265068,-2.7244081,-1.7048874,-0.90228224,-0.36512992,-0.19551247,-0.19042952,-0.29364067,-0.42264503,-0.33794516,-0.35920104,-0.30296612,-0.096776724,-0.016224027,0.009629577,-0.32868087,-0.9301507,-1.4773426,-1.8085039,-2.0141447,-2.1435034,-2.2717462,-2.5313644,-2.3969753,-2.1396933,-2.1832733,-2.159833,-2.0316052,-2.0101867,-2.3363771,-2.5829184,-2.4259055,-2.2635667,-2.2491677,-2.5498931,-2.8845353,-2.7144952,-2.681485,-2.7661238,-2.992505,-3.0651844,-2.7501445,-2.7030826,-2.5149777,-2.390674,-2.3713923,-2.3261628,-2.2749872,-2.212462,-2.0672932,-1.9625711,-1.7469032,-1.2810575,-0.7075223,-0.3620824,-0.3881226,-0.522079,-0.80154294,-1.1678518,-1.252152,-1.1135972,-1.2184305,-1.4113694,-1.5669113,-1.5121382,-1.2789547,-1.0932696,-1.0655177,-1.0710115,-0.840806,-0.41164976,0.19906642,0.5157502,0.6063432,0.3450728,-0.06797882,-0.28863487,-0.41799814,-0.4575524,-0.5281371,-0.61748534,-0.58387464,-0.5787492,-0.6138873,-0.67914003,-0.7060511,-0.772861,-0.79512036,-0.7772629,-0.831614,-1.002976,-1.2730212,-1.4754354,-1.4611648,-1.2154772,-0.57375205,0.42883012,0.6455094,0.44425416,0.078457385,-0.20365062,-0.7554815,-1.336913,-1.6957185,-1.8784759,-1.7917833,-1.4437083,-1.4509945,-1.5384036,-1.6424625,-1.7356366,-1.7438848,-1.8886712,-1.8087672,-1.8125608,-1.6111186,-1.2741548,0.62236416,0.6226799
0.6498827,0.36570773,0.018130656,-0.7992958,-1.2978379,-1.3245416,-1.4709125,-1.421182,-1.3790749,-1.3115748,-1.2811052,-1.2297306,-1.256319,-1.2839614,-0.9656448,-0.08500755,1.597997,2.99194,3.6756253,3.9429674,4.011616,4.056303,4.1077256,4.2317295,4.0419025,3.6159186,3.3173532,2.7152042,1.7874687,1.0124557,0.12076455,-0.88769895,-1.8340511,-2.134542,-1.8562586,-1.6748638,-1.4088318,-1.4948072,-1.3413604,-1.5765035,-1.7914846,-1.8626609,-2.129109,-1.353324,-0.62228906,-0.04878688,0.79286456,0.81389487,0.7146752,0.5455308,0.3022144,0.066853166,-0.25569993,-0.68652123,-1.3511537,-2.1794176,-2.6899688,-2.5728345,-2.1562994,-1.959211,-2.0903094,-2.414794,-2.507198,-2.4409013,-1.9760814,-1.4692366,-1.3780389,-1.179441,-0.98241067,-0.86482996,-0.5998555,0.015396118,0.6314854,1.1166439,1.9400861,2.499137,2.8753738,2.9800897,3.002667,3.1225884,3.148974,3.1670306,3.110432,3.044952,2.998609,2.9034724,2.7794566,2.7974381,2.8023477,2.7246015,2.7106457,2.6594265,2.6348462,2.5914168,2.430525,2.0761118,1.1686709,-0.688452,-0.8940545,-0.50711405,-0.26010534,0.08531433,0.69785625,1.1869365,1.6159436,1.7973361,1.7098716,1.5994414,1.6338103,1.741383,1.7407415,1.8627683,1.7945101,1.6177566,1.5875196,1.4650384,1.3042197,1.2623222,0.88265496,0.8817866
-2.7016146,-2.8116388,-3.1425638,-2.7292092,-1.7204771,-1.1037593,-0.9925474,-1.046644,-1.0503298,-1.0189263,-0.72792053,-0.6837742,-0.48244408,-0.20962928,0.1588521,0.44471788,0.42783517,0.3090342,0.33869177,0.37406766,0.33557832,0.19484751,0.19622874,0.18820205,-0.11170536,-0.44328156,-0.5586858,-0.45982945,-0.20834133,-0.15892942,-0.14437832,-0.43299532,-1.0513096,-1.5654325,-2.3717413,-3.0142763,-3.1787238,-3.146015,-3.1285086,-2.997757,-2.6349328,-1.6564844,-0.007851154,0.50954807,-0.0835982,-0.077676415,0.76602864,1.1418382,1.1609883,1.2937266,1.3934823,1.3946353,1.455371,1.5197132,1.0538218,0.66798717,0.4990979,-0.15413593,-0.53601575,-0.6690262,-0.8525884,-1.0311842,-1.1178036,-1.3005842,-1.1313517,-0.66617644,-0.514799,-0.108013205,0.1610492,0.20595112,0.45698988,0.6639364,0.6903554,0.45003733,0.06460509,-0.09420633,-0.18010148,-0.2056882,-0.21336737,-0.16630203,-0.23695533,-0.3190199,-0.25359535,-0.22300369,-0.19392154,-0.17690924,-0.13130721,-0.115547374,-0.15479761,-0.26247942,-0.38261077,-0.53547466,-0.72141206,-0.7584891,-0.7607714,-0.67686653,-0.4110243,-0.09196254,-0.27615896,-0.6555637,-0.80627626,-0.8443738,-0.98503065,-0.97722673,-1.101893,-1.2146752,-1.0981288,-0.79484034,-0.8172014,-0.9839076,-1.4478294,-1.8727983,-2.113339,-2.1753373,-2.1627333,-2.088946,-2.2057729,-2.4304724,-1.2792299,-1.2791107
-2.569738,-2.3413901,-2.3031251,-2.4036644,-3.0772552,-3.1656022,-3.0111892,-3.0271542,-2.8424153,-2.7762225,-2.7116592,-2.8063388,-2.6860497,-2.589071,-2.4678884,-2.3574276,-2.1705368,-1.9465456,-1.7223296,-1.6413426,-1.7170656,-1.7896316,-1.7775936,-1.6500163,-1.5970855,-1.5836343,-1.3167324,-0.98983586,-0.7697096,-0.95754063,-1.3707814,-2.1193395,-2.4877248,-2.3077495,-2.0955884,-2.4738507,-2.815093,-2.722612,-2.7331138,-2.5703716,-2.157374,-1.190512,0.3220482,1.0654131,0.58525634,0.87092525,2.1458921,2.4650755,2.5354633,2.5832965,2.5925474,2.6083784,2.5769277,2.284771,1.6882355,0.7317649,0.022490166,-0.7448944,-0.9850887,-0.584625,-0.44261593,-0.81889784,-1.6231265,-2.0234387,-2.2289498,-2.3398433,-2.2464957,-1.9298851,-1.54455,-1.3272345,-1.0297322,-1.0191677,-0.9961747,-0.99095213,-1.1406448,-1.1706254,-1.1591932,-1.1154147,-1.1087197,-1.1588678,-1.2108885,-1.2301306,-1.1821086,-1.1347028,-1.0991306,-1.0081546,-0.96469265,-0.97023976,-1.0134783,-1.0472941,-1.1322234,-1.2428219,-1.3332702,-1.2916648,-1.2333654,-1.3548925,-1.3161577,-1.0866014,-0.95095474,-1.1953871,-1.3488315,-1.5635303,-1.8813055,-2.1142755,-1.8874326,-1.6887525,-1.402071,-1.1224446,-1.3746153,-1.6534868,-1.9980146,-2.3201115,-2.493351,-2.6636038,-2.629867,-2.5498366,-2.6490567,-2.7661464,-2.32902,-2.3287225
-2.2908688,-2.438,-2.2758822,-1.607338,-0.6433878,-0.028299928,0.060139343,0.060361788,-0.020316683,-0.4224391,-0.5492661,-0.7626743,-0.81965923,-0.799069,-0.97117084,-0.8785951,-0.4423736,-0.111258,-0.0031850338,0.07036777,0.18398619,0.21154433,0.17823622,0.09429642,-0.17715426,-0.5163945,-0.8805157,-0.8134274,-0.060973585,0.64710915,0.6551733,0.034290746,-0.9211744,-1.2360125,-1.3557405,-1.513826,-1.3845018,-1.3691107,-0.94417846,-0.6253419,-0.49541587,-0.113357246,0.36793458,-0.066819966,-0.31992388,-0.4798698,-0.7743428,-0.7385924,-0.6558315,-0.550506,-0.3458295,-0.1462096,0.3863194,1.1538103,1.5549867,1.4759729,1.275111,0.66576064,0.1673833,-0.1864752,-0.09416535,-0.1346103,-0.85822177,-1.1781317,-1.3068193,-1.2383567,-1.0146372,-0.7349789,-0.70135117,-0.70229256,-0.76671916,-0.6529665,-0.6243087,-0.6546393,-0.87245077,-1.1018713,-1.2304939,-1.2300603,-1.1479242,-1.025117,-0.9951541,-1.0183284,-0.9232745,-0.86535335,-0.76103795,-0.69310415,-0.4647097,-0.26597428,0.04016024,0.5134851,1.0225832,1.694275,2.3789542,2.9075737,3.6043222,5.099745,7.5402384,9.976271,10.849012,11.02786,11.090828,11.032991,10.831831,10.560818,10.310685,10.117271,10.071049,10.127905,9.709474,9.269768,8.494931,7.6657114,7.035962,6.23506,5.4235783,5.2210336,5.1331625,4.8197975,3.7085862,3.707746
-0.21139118,-0.12983796,-0.22175738,-0.6883621,-1.1330829,-1.1426172,-1.0150411,-0.85664487,-0.59432864,-0.5685077,-0.7261344,-0.9616389,-0.8327358,-0.5545702,-0.08518419,0.6194078,1.4412373,1.9582784,2.299279,2.3727603,2.1460924,1.856179,1.5786229,1.2243453,0.5903876,-0.11712563,-0.6765602,-1.0408294,-1.0325396,-0.941857,-0.8735955,-0.82671565,-1.2288151,-1.5736035,-1.9296318,-2.1791441,-2.1119914,-1.8519166,-1.5870503,-1.3743879,-1.2591674,-1.0349652,-0.338239,0.3700378,-0.01723975,-0.40198335,-0.34157616,-0.5464972,-0.6365634,-0.7001699,-0.8430469,-0.79800653,-0.669535,-0.7199102,-0.89532566,-1.2701364,-1.3550868,-1.0499291,-0.3163648,0.7251323,1.4065725,1.3770278,0.7382432,0.3370708,0.09141436,-0.16009094,-0.09257308,-0.07302824,0.25661343,0.39662254,0.39085895,0.17393097,-0.1116331,-0.3024257,-0.50947696,-0.43209755,-0.1555961,-0.011020213,0.07615887,0.10870336,0.16983493,0.20526199,0.22434811,0.21583278,0.1997586,0.20209031,0.19003315,0.2281655,0.25734538,0.31972077,0.27576134,0.13000613,0.010580808,0.010581613,-0.094568,-0.4161086,-0.683446,-0.72975475,-0.27713698,0.35053748,0.75638455,0.81514674,0.7344341,0.60107636,0.45967096,0.23917854,0.22795019,0.43453583,0.029327584,-0.49392092,-0.9933591,-1.4379271,-1.5913715,-1.513482,-1.5449809,-1.451107,-1.4231427,-1.4754071,-1.4015827,-1.4015915
-2.8133771,-2.9453752,-3.0020325,-2.7450595,-2.6762064,-2.9219425,-3.2041464,-3.3003652,-3.357564,-3.2667353,-3.0138159,-2.7554467,-2.6219573,-2.6166809,-2.4311008,-1.9561753,-1.2591419,-0.80158734,-0.5301377,-0.3229997,-0.14431657,0.02571299,0.16354592,0.5762438,1.4357793,1.8834274,1.8715098,1.8090892,1.658959,1.3093588,1.1676548,0.5812296,-0.4375951,-1.4391751,-2.0986843,-2.3782935,-2.526394,-2.5741913,-2.5743175,-2.6960251,-2.4604168,-1.9252001,-1.5752211,-0.6164302,0.37826723,1.7073467,2.9725595,3.250534,3.2567062,3.1957426,3.131845,2.9838731,2.5813859,1.875019,0.91689384,-0.33676523,-1.597647,-2.375768,-2.3019032,-1.7965043,-1.5676154,-1.8365203,-2.375638,-2.5612319,-2.5311542,-2.5774906,-2.62776,-2.3152442,-2.1014395,-2.000934,-1.7729237,-1.4959061,-1.1245644,-0.8870636,-0.50247,-0.10182716,0.34880763,0.6048412,0.8132174,0.99474245,1.02931,1.0448823,1.0869188,1.1435745,1.2675669,1.3536652,1.4527984,1.4965589,1.4400835,1.2303677,1.0329404,0.7935536,0.60599935,0.44415522,0.23753542,0.14006817,-0.3628612,-1.8969362,-2.418293,-2.6649284,-2.727219,-2.6688423,-2.6233354,-2.4795132,-2.1036696,-1.9779433,-1.9007477,-1.7812799,-1.6255009,-1.5132737,-1.2879192,-1.052301,-0.91320276,-0.93233997,-0.96116704,-1.1029909,-1.2266779,-1.3293285,-2.450662,-2.4508948
