0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
12.913298,12.905096,12.896206,12.818694,12.768601,12.780975,12.682759,12.541587,11.831509,9.217894,7.081814,5.3558297,4.0895896,2.9285924,2.4543145,2.415972,2.3774927,2.2422853,2.0458322,1.5693424,1.1927278,0.8093237,0.60383034,0.9365109,0.9710756,0.72785634,0.03382331,0.5629053,1.3452957,1.9031329,2.1275795,2.3338103,2.8718643,3.460646,3.982489,3.7957206,3.3177006,2.6910777,1.5341582,0.093137875,-0.8728988,-0.20937544,0.043725997,0.55619955,1.0901886,1.4134414,2.1628814,2.4239464,3.2753332,4.148353,4.800293,5.519904,6.9187603,7.4983864,7.1305323,5.656563,4.6717854,3.5722842,2.7843432,1.6273072,0.60286784,0.23651087,0.21889055,0.47116333,0.9205375,1.2300274,1.6684985,2.0125425,2.4384043,2.6182046,2.7976048,3.3029947,4.0854464,5.527136,6.973135,7.7795205,7.0717173,5.23188,3.201622,2.7941065,2.498114,2.1484108,2.03525,1.7455947,1.2516522,0.9029355,0.791114,0.63570124,0.33065295,0.1432105,0.062686816,0.31447402,0.67601836,0.7479657,0.9369581,1.9292579,2.7944589,2.8358636,2.371815,1.614142,1.1159966,1.0554987,1.1461251,1.538355,1.8003485,1.9045969,2.0338855,1.9908168,2.1008494,2.1520813,2.2041476,2.3523514,2.3347673,2.4038699,2.5468411,2.811327,3.2325795,3.5731838,4.1377544,4.9039893,6.170709,7.2677584,7.9641876,8.593325,9.102837,9.537083,10.287554,10.70144,10.868814,10.999859,11.128433,10.515534,11.146929,10.516718,10.514966,10.5144825
-2.6734848,-2.8378396,-2.9074194,-3.0262341,-3.030472,-2.952982,-2.97788,-2.8782258,-2.573315,-2.8891282,-3.1664739,-3.1657634,-3.078865,-3.1647897,-3.2069016,-3.098109,-2.9829733,-2.8121042,-2.71791,-2.6656408,-2.4616332,-2.222368,-1.9092753,-1.588443,-1.2755618,-0.8142711,0.703802,2.2059615,2.8311505,2.4994576,1.9076298,1.2209303,0.442698,0.08701177,-0.35621858,-0.441679,-0.8237999,-0.77725303,-0.63842946,-0.3002357,0.2264441,1.793436,4.0254173,7.464921,9.345277,9.6732235,9.595109,9.657736,9.522797,9.268332,8.575405,7.4205523,5.0829372,2.88536,0.24921548,-1.3774555,-1.8525057,-1.9929388,-2.103203,-2.1876807,-2.3276048,-2.5503948,-2.2668784,-1.6457,-1.110673,-0.8451142,-0.9662294,-1.3213425,-1.6633899,-1.8350681,-1.8573081,-1.7820679,-1.6194918,-1.6785398,-1.7765265,-1.8260071,-1.9322754,-1.8026109,-0.9243622,-0.3692104,-0.14770207,-0.2945274,-0.8424533,-1.1205784,-1.1920567,-1.4297478,-1.5222071,-1.5118922,-1.4661987,-1.5665431,-1.7771587,-1.9743403,-1.9914575,-1.6428516,-1.232445,-0.75886333,-0.6847914,-0.95298976,-1.4682866,-1.8058542,-1.8688917,-1.8291271,-1.8558097,-2.00115,-2.0370584,-1.9168566,-1.7652991,-1.6898525,-1.5614498,-1.4959123,-1.393912,-1.2108693,-1.0630773,-0.95075405,-0.8172803,-0.72043574,-0.5782658,-0.4387133,-0.47989458,-0.6746067,-0.34951824,0.18052831,0.59450936,0.7133594,0.8289627,0.71892256,0.34606105,0.24885482,0.0028039217,0.034512192,0.13117436,0.21616614,0.16938326,0.21596399,0.2153542,0.21512792
-0.34220946,-0.4105546,-0.5030479,-0.59933543,-0.6078523,-0.6713234,-0.7735265,-0.85142267,-1.11074,-1.0456733,-0.98127115,-1.0164579,-1.1187522,-0.77570766,-0.38334417,-0.19896555,-0.12939386,-0.058220156,-0.2790951,-0.7318684,-1.1812024,-0.45227262,-0.57706386,-1.2545391,-1.660317,-1.9082984,-2.2526832,-2.373547,-2.2737753,-1.7350669,-1.3016548,-0.97209203,-0.70862657,-0.6065615,-0.5437063,-0.64252466,-0.29328603,-0.07884005,-0.05512923,-0.3721696,0.48654136,0.20343731,-0.9051658,-1.7693285,-1.9437301,-2.0680969,-2.312212,-2.5313625,-2.7099319,-2.5422502,-2.1002376,-1.6536553,-1.4212465,-1.2224721,-0.4494415,-0.28909606,-0.44093788,-0.50183743,-0.58928424,-0.69637907,-0.8110962,-1.1672921,-1.3128463,-1.0972278,-0.62986195,-0.3080645,-0.22025219,-0.602202,-1.2751771,-1.7964101,-1.8176951,-1.5818983,-1.474255,-1.5281675,-1.5255325,-1.690118,-1.6624385,-1.6037047,-1.6675301,-1.5817957,-1.6046364,-1.513187,-1.0329788,-0.8566202,-1.3740813,-1.6149002,-1.67993,-1.7519614,-1.8018904,-1.866606,-1.8673164,-1.5724833,-1.1546365,-1.1296299,-1.2463099,-1.468534,-1.3667508,-1.4027547,-1.481914,-1.3293983,-0.94176936,-0.72210854,-0.81090355,-1.3439894,-1.7857091,-1.9785519,-2.0744622,-2.1310053,-2.2418363,-2.3463063,-2.4206097,-2.437384,-2.4932308,-2.535184,-2.5950618,-2.6447396,-2.6968088,-2.686675,-2.5201626,-2.2815065,-2.1012795,-1.9997303,-1.9650774,-2.034522,-2.2226877,-2.2776146,-2.2173061,-2.0973558,-2.093903,-2.0459688,-1.9802532,-0.517523,-1.9515777,-0.51856804,-0.5168451,-0.51625955
-2.1815732,-2.2435455,-2.3515337,-2.4281886,-2.4734652,-2.2758214,-2.152013,-2.061629,-2.0940187,-1.6768584,-1.3545712,-1.2164588,-1.169386,-1.5119793,-2.097599,-2.317202,-2.3880804,-2.2020721,-1.9089551,-1.7375963,-2.0342324,-2.0021734,-1.5133845,-0.7810917,-0.15623868,0.8802703,4.757086,9.069073,10.990282,10.796202,10.109419,9.111738,7.554532,6.417861,4.322728,3.3635616,1.018307,0.07374847,-0.46249026,-0.6952507,-0.7093294,-0.9310702,-1.0961554,-0.9640025,-0.41325203,-0.07864559,0.21830201,0.51710355,0.5159813,0.12488705,-0.059141874,-0.24304587,-0.8075708,-1.0205865,-1.3153659,-1.4369947,-1.183182,-0.9964809,-0.7768284,-0.83239186,-0.9604693,-0.7415569,-0.35648677,-0.1844745,-0.12336652,-0.14177711,-0.4625535,-0.8675439,-1.2263505,-1.3858408,-1.4712143,-1.2300439,-0.63475263,-0.27037984,0.015216159,3.216417,5.9002004,8.3308525,10.4789715,11.185192,11.5341,11.503448,10.361149,8.534863,5.7086954,3.1900597,2.1849287,1.585985,1.0890558,0.529697,0.079866834,-0.2953306,-0.6683997,-0.89873457,-1.0464643,-1.3422203,-1.6362628,-2.1731808,-2.488245,-2.083906,-1.3187641,-0.85624504,-0.87150353,-1.5125008,-2.0110216,-2.1821153,-2.2808533,-2.3182073,-2.3846653,-2.4429111,-2.4687655,-2.4547172,-2.3707166,-2.3776355,-2.4627268,-2.640295,-2.800765,-2.902567,-3.035798,-3.2121491,-2.980821,-2.5489237,-2.2309365,-1.9116603,-1.7300664,-1.6330172,-1.6073202,-1.8192998,-1.9901435,-2.0557659,-2.1168928,-0.9434968,-2.267328,-0.94430983,-0.94331264,-0.94302934
1.2326989,1.3166873,1.3914733,1.3250434,1.2635634,0.9563454,0.63868606,0.42249733,-0.19035345,-0.209561,-0.05868422,-0.16275503,-0.32307065,-0.90492487,-1.4241098,-1.5205314,-1.4425529,-1.697026,-1.8358791,-1.8584832,-1.4909992,-0.715865,-0.006674528,0.7622213,1.1965196,1.2747355,0.9714639,-0.6453142,-0.9570841,-0.8793627,-0.669796,-0.5002462,-0.4161446,-0.5263028,-0.7347783,-0.6967371,-0.96456033,-1.198071,-1.1182353,-0.4514112,-0.20561829,-0.1791955,-0.20013648,-0.36621022,-0.68749,-0.80906725,-0.56536,-0.5491394,-0.71048164,-0.8276037,-0.8781767,-1.0160638,-1.334466,-1.3816342,-1.4110806,-1.2850597,-1.3003261,-1.304086,-1.3444816,-0.9640051,0.091052994,0.79161435,0.6497241,-0.065755635,-0.8053311,-1.3867393,-1.7788806,-1.732331,-1.4652252,-1.1199586,-1.1464839,-1.3947606,-1.6394951,-1.5352252,-1.3656548,-1.3765569,-1.376313,-1.481543,-1.5313779,-1.4276776,-1.3119404,-0.90707576,-0.35883644,0.23040134,0.72990286,1.018033,1.125459,1.1352881,0.98042417,0.99549234,0.83341825,-0.09603586,-0.883007,-1.0604389,-1.1076567,-1.2814631,-1.4777198,-1.2721628,-1.0080645,-0.6760471,0.048107103,0.70013154,1.6437223,2.5545359,3.0568924,3.1543393,3.1341462,3.0724063,2.9395406,2.84648,2.8542867,2.8678393,2.7309642,2.6522915,2.5583332,2.5371947,2.3342922,2.0646346,1.6373026,1.0277758,-0.005499013,-0.631696,-0.81183326,-0.9729522,-1.0850502,-0.95518196,-0.7772014,-0.8471313,-0.73493326,-0.81542957,-0.86828446,0.1467022,-0.77357584,0.14750972,0.14670995,0.14654875
-2.418723,-2.5456991,-2.7595954,-2.7909775,-2.7693958,-2.7444377,-2.6149178,-2.616411,-2.1841445,-1.2313132,-1.2336668,-1.1280231,-1.179934,-1.4404896,-1.765773,-1.7845962,-1.7739528,-1.6740696,-1.3277142,-0.6783904,-0.24165522,-0.85424745,-1.1699251,-0.6789675,-0.43439865,-0.3357916,-0.5412017,-0.8520584,-0.3887446,-0.014967293,0.5548698,0.9304388,0.9372926,0.57138586,0.10271363,0.017917074,-0.13337892,-0.101780705,0.13380164,0.365642,-0.112550035,-0.683419,-0.7259773,-0.328412,0.66576624,0.8876492,0.5435324,0.2962792,0.19005646,-0.09924716,-0.65300286,-1.1052158,-1.7068095,-1.9204118,-1.6774654,-1.0037444,-0.43000737,0.18151766,0.6390547,0.36383575,-0.44294208,-0.5744914,-0.4463986,-0.46832982,-0.39999598,-0.13459267,-0.34893632,-0.6379187,-0.77055895,0.01605424,0.60343885,0.6208724,0.28970188,-0.24481417,-1.0158308,-2.016029,-2.3134513,-2.0583675,-1.2738014,-0.92196804,-0.5183626,-0.31695077,-0.29244006,-0.11361772,0.42342335,0.7002032,0.77430934,0.91204774,1.0235233,0.9878072,0.7562419,-0.10302132,-0.9350871,-1.2942555,-1.4335204,-1.6067498,-1.3420488,-0.69503117,0.036796004,0.6423459,0.7815646,0.41122213,-0.06501609,-0.503031,-0.68487614,-0.7269394,-0.7431548,-0.57365304,-0.2861815,-0.12434736,0.017333508,0.086420506,0.48524526,0.5768525,0.5260221,0.254934,-0.0028829277,-0.26472816,-0.74673563,-1.2931957,-1.7407033,-2.0401132,-2.2855659,-2.25313,-2.491312,-2.5044434,-2.6298442,-2.8383255,-2.772351,-2.8275685,-2.8811355,-1.5594395,-2.5830636,-1.5605555,-1.5587246,-1.5582745
-2.9772563,-3.0526052,-3.0996292,-3.1951005,-3.1952386,-3.309309,-3.4235024,-3.4535432,-3.6274247,-4.086049,-4.094472,-3.891478,-3.8196344,-3.6080098,-3.2583866,-3.0989757,-3.1811209,-3.3827715,-3.448826,-3.2873173,-2.8044739,-1.8613026,-0.69279283,-0.1706961,-0.05024661,0.045852378,-0.08867891,-0.09667513,-0.1919958,-0.4683617,-0.4824208,-0.4246135,-0.5040513,-0.66062146,-0.87563086,-0.92498356,-1.0388417,-0.8973516,-0.62091887,-0.095765635,0.05759108,-0.12543367,0.31671932,0.37418112,0.24478763,0.16930269,0.10555236,0.08791225,-0.281392,-0.81872284,-1.0565392,-1.1825457,-1.516686,-1.6864016,-1.9475102,-1.8064172,-1.3972255,-0.86112434,0.02963379,1.3531971,2.097351,2.207848,2.126656,1.7338576,1.4590601,1.6685828,1.7387855,1.6421763,1.2077754,0.67556226,0.21646842,-0.068699196,-0.13745137,-0.9505652,-1.7102075,-2.7061205,-2.8647957,-2.5735803,-2.0571284,-1.9560353,-1.8354402,-1.8132932,-1.8362825,-1.6844277,-1.2653224,-1.0950665,-1.1067129,-1.1147798,-1.0857058,-1.0248514,-1.1289198,-1.5337573,-1.92501,-1.7110268,-1.3227625,-0.86568487,-0.9861543,-1.0884912,-1.1611778,-1.3598312,-1.3147292,-0.82612437,-0.29523265,-0.017663829,-0.0038988814,-0.09293043,-0.24503437,-0.32037395,-0.4924413,-0.5524836,-0.631555,-0.80517936,-0.9431665,-1.020669,-1.0703921,-1.0981977,-1.2140517,-1.5015398,-1.9515066,-2.2065265,-2.1664214,-2.3066938,-2.5657797,-2.6533966,-2.610711,-2.5849285,-2.594221,-2.6065073,-2.5329041,-2.467238,-2.4294574,-2.10866,-2.3287191,-2.1093786,-2.1081963,-2.1078553
-1.4875065,-1.5254028,-1.5218278,-1.5046636,-1.5513765,-1.340898,-1.2319757,-1.1237159,-1.1777194,-1.6899631,-1.3157008,-0.90829295,-0.5874284,-0.6320468,-1.3380845,-1.6751962,-1.7693486,-1.4142306,-0.90708196,-0.58607846,-0.6917454,-1.3385092,-1.8687493,-1.6740518,-1.3920898,-0.9945154,0.62680334,2.2549613,3.0576868,2.4980893,1.7977439,1.149955,0.32150695,-0.10052346,-0.8999738,-1.1085212,-1.326681,-1.311991,-1.141194,-0.7538178,-0.6573801,-0.4080498,-0.09577121,0.954617,1.7841809,2.0438933,2.092741,2.5134218,2.983533,2.8569696,2.5413818,1.9982153,1.1545551,0.5837661,-0.10117321,-0.43033603,-0.41984242,-0.4426694,-0.48080212,-0.65606594,-1.0830977,-1.2488854,-1.2861032,-1.1015756,-0.61436594,-0.2144384,-0.19841225,-0.39207533,-0.45605028,-0.19811243,0.03286262,0.12323525,0.15951532,-0.18579486,-0.43300933,-0.3358709,-0.08661519,0.22919858,1.0006921,1.1656945,1.0259594,0.22072014,-0.37227565,-0.5808221,-0.568403,-0.82529306,-0.87171894,-0.7424501,-0.43131542,-0.17720234,-0.0011156797,-0.21529323,-0.9848963,-1.2974179,-1.0551091,-0.12361258,0.19887243,0.15666607,-0.24249244,-0.5497883,-0.74738014,-0.97699785,-0.95194834,-0.97005415,-0.9898536,-0.8605642,-0.7961468,-0.7903922,-0.75275654,-0.76530147,-0.69841903,-0.5617241,-0.35267383,-0.25744337,-0.32040673,-0.55590755,-0.71102583,-0.7200805,-0.73954964,-0.69731504,-0.44446954,-0.07165113,0.049274713,0.072127044,0.15498543,0.27441877,0.23479104,0.07336399,-0.15368262,-0.2692399,-0.3483937,0.156052,-0.60769594,0.15537757,0.15599942,0.15617424
-0.7930028,-0.82608956,-0.8192233,-0.8688431,-0.9025759,-0.87863827,-0.87354106,-0.8515366,-0.9306432,-1.3875177,-1.3858547,-1.1863372,-1.1280493,-1.2664427,-1.2754776,-1.2642996,-1.3411441,-1.463216,-1.4925295,-1.0974042,-0.17887542,0.035287537,0.020121314,-0.16202848,-0.016622156,0.10996774,0.015015274,-0.044278055,-0.27107486,-0.6043388,-0.6993611,-0.7658627,-0.98820734,-1.3238674,-1.9267128,-2.1377592,-2.3100028,-2.3360672,-2.0920968,-1.4084351,-0.5566095,0.24404189,1.3136557,1.4439243,0.66469824,0.36617273,0.23593152,0.22032313,0.0059507675,-0.48578683,-1.08324,-1.2752359,-1.4763641,-1.6863616,-2.0217535,-2.034833,-2.083952,-2.182154,-2.2406096,-1.856719,-1.6325585,-2.033993,-1.8242087,-1.4513173,-1.4557945,-1.5410782,-1.4365791,-1.2278106,-0.57915735,0.21591063,0.7528672,0.76088274,0.21943115,-0.51421165,-0.9196383,-1.0981479,-0.8882605,-0.629048,-0.1904361,-0.054785743,0.13990486,0.4468305,0.36181027,0.21479546,0.2512315,0.15756017,0.07303919,0.07328585,0.095831886,0.11412269,0.08310053,0.12805435,0.1602748,0.019091526,-0.07082153,-0.23474535,-0.3584857,-0.38313776,-0.4352714,-0.75056475,-1.0616646,-1.1656381,-1.0521601,-0.6410699,-0.43788713,-0.3354239,-0.33104566,-0.42508864,-0.5470884,-0.60808206,-0.63020134,-0.7279651,-0.9738089,-1.0449448,-1.0692322,-0.97832537,-0.9739815,-1.0204682,-1.1675339,-1.2542186,-1.1453295,-1.26487,-1.2997689,-0.9817983,-0.61846614,-0.701416,-1.0567253,-1.122008,-1.2139692,-1.2330484,-1.3096706,-1.87107,-1.4077178,-1.8714269,-1.8709922,-1.8709161
-3.6907299,-3.5650902,-3.4539027,-3.4030614,-3.360994,-3.437855,-3.443643,-3.4287746,-2.9029298,-1.767974,-1.519038,-1.7484236,-1.9876664,-2.2992716,-2.4834387,-2.3298197,-2.1483347,-2.1969576,-2.212854,-2.3814173,-2.3728786,-1.9041564,-0.4212395,0.61323154,0.98043495,1.1361859,0.7398176,-1.5368867,-2.6358204,-2.6299443,-2.4422178,-2.30089,-2.2629042,-2.2303052,-2.1479483,-2.0512495,-1.9522672,-1.8875871,-1.9263701,-1.9022045,-2.4223495,-2.9074965,-2.8634987,-2.5153093,-2.0624309,-1.8767903,-1.7476553,-1.7515643,-1.7244287,-1.5002477,-1.3961542,-1.5705961,-2.1219158,-2.3212776,-2.366631,-2.1236734,-2.1199176,-2.056989,-1.8681774,-1.460076,-0.81584096,-0.0682701,0.19149557,0.0026809573,-0.2897258,-0.40422538,-0.57963556,-0.77890563,-1.2493259,-1.545814,-1.5630267,-1.6140364,-1.6515301,-1.8570962,-2.33504,-3.0017743,-3.1840365,-3.2164237,-3.127317,-3.018395,-2.8693428,-2.4805152,-2.2225835,-1.2374196,0.13182634,0.8773803,1.1048921,1.188723,1.1818879,1.2142617,1.2825278,1.0499203,0.87172186,0.86589324,0.86633784,0.6513607,0.08751884,-0.17424437,-0.42508546,-0.61555773,-0.8792012,-1.0262527,-0.9996002,-0.85474116,-0.7345922,-0.7286194,-0.7688204,-0.7744181,-0.8495665,-0.9665438,-1.0947704,-1.2217382,-1.3545817,-1.5024656,-1.6548539,-1.7999022,-2.0113275,-2.1717868,-2.3982143,-2.7274914,-3.1833692,-3.3528047,-3.2955112,-3.3260245,-3.3761768,-3.364182,-3.3218522,-3.256424,-3.176562,-2.9969914,-2.8353553,-3.3861852,-2.5770388,-3.3854733,-3.3864534,-3.386718
