0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
13.276928,13.344788,13.416733,13.481652,13.445835,13.401606,13.445506,11.130812,13.474823,13.372385,11.126743,13.175398,12.892487,12.478931,11.888721,12.010086,12.090357,11.226917,11.588629,10.37205,8.230929,5.8748436,3.3037825,2.2059855,1.4554982,0.68378264,-1.1870791,-1.6581712,-1.1441063,-0.71384835,-0.43841296,-0.41809648,0.06384119,1.9476881,2.57682,1.6874708,0.8258458,0.07331228,-0.45419362,-0.7190718,-0.7670003,-1.0347238,-1.2991811,-1.4187748,-1.5252628,-1.3918593,-1.0624163,-0.7553378,-0.31476903,0.08314465,0.100904755,-0.093677625,-0.3028186,-0.83242095,-1.4364983,-1.5133632,-1.3031175,-1.1254555,-1.046401,-1.027855,-1.0351319,-1.0276829,-0.79667485,0.021262199,1.953769,3.0621839,3.7417045,3.7214537,3.1480613,1.8836029,1.3461728,1.4915273,1.32195,0.77142125,-0.6484904,-1.108694,-1.217178,-1.1478784,-1.1613345,-1.3238837,-1.4703166,-1.2076085,-0.9322833,-0.6732596,-0.4748826,-0.32682583,-0.2572857,-0.11791499,0.07501677,0.40335065,0.8644904,1.3832917,2.246625,3.7978668,4.736349,4.2947817,4.4148836,4.7478523,5.4656305,5.8279495,5.7802343,5.7233458,5.734685,6.1444674,6.136307,6.9141054,7.713912,8.375967,8.664848,9.805827,10.635906,11.126755,11.127145,11.126308
-2.320415,-2.34931,-2.3949103,-2.3384411,-2.2344437,-2.2879047,-2.3563488,-2.6291096,-2.4107194,-2.5062919,-2.6275954,-2.4389074,-2.217622,-1.9688964,-1.9463574,-1.8458141,-1.9051158,-2.6564503,-2.0165443,-2.2024455,-2.4480157,-2.3012414,-1.6468339,-1.3360252,-1.0581764,-0.924711,-1.0254576,-1.9683707,-2.2682886,-2.1650772,-1.9524266,-1.6572713,-1.2664132,-0.6649428,-0.48801258,-0.33145818,-0.32060495,-0.5645762,-0.5147122,-0.5170686,-0.39998043,-0.1621722,-0.34239408,-0.654313,-0.89644265,-0.76079106,-0.51582,-0.29759797,-0.0100738555,2.501905e-05,-0.29565355,-0.6739823,-0.8655809,-0.87450653,-0.8049889,-0.48064357,-0.36509037,-0.33723408,-0.2375026,-0.080923006,-0.020007588,-0.2544577,-0.7952264,-1.866804,-2.1731246,-2.3972008,-2.578399,-2.6967044,-2.8328848,-2.7074988,-2.680702,-2.785943,-2.7802038,-2.6511388,-2.3553443,-2.1294518,-1.5137444,-0.92779917,-0.5590707,-0.44597185,-0.6021123,-0.678609,-0.86512196,-0.958164,-1.0868297,-1.2213615,-1.3367279,-1.4540135,-1.6125262,-1.79724,-1.9774022,-2.3803892,-3.1085944,-3.2365284,-3.3862736,-3.2064874,-3.3412466,-3.530014,-3.5457664,-3.6570802,-3.6009617,-3.6677012,-3.5706987,-3.5831308,-3.5883536,-3.678681,-3.6523957,-3.530918,-3.521919,-3.5905309,-3.4546552,-2.6278672,-2.628168,-2.6274276
-1.9413931,-1.930234,-1.905396,-1.8213038,-1.8492541,-1.937219,-1.9538691,-1.7268697,-1.8253753,-1.8572055,-1.7274904,-1.9283502,-1.8807476,-1.9007058,-2.0410376,-1.8735151,-1.6373498,-1.7009585,-1.4839313,-1.284487,-0.8665624,-0.88735795,-0.97068995,-1.0696143,-1.1053826,-1.5664487,-2.7080069,-3.5693982,-3.9176955,-4.0559545,-4.1850667,-4.196922,-3.2271402,-2.3481557,-1.794769,-1.2904238,-0.9347013,-0.21122202,0.094059736,0.15770201,-0.6612189,-1.7158291,-2.1940203,-2.3027225,-2.5439124,-2.845071,-3.046553,-3.0375302,-2.9460855,-2.7116625,-2.5475304,-2.3163164,-2.0872087,-1.9286158,-1.8949544,-2.2011557,-2.5358932,-2.6825953,-2.836106,-2.9966707,-3.1313605,-3.1435068,-2.8432934,-2.2924075,-1.5581279,-0.6107126,-0.1407817,0.15318586,0.38531035,0.38154283,0.45674932,0.60025156,0.8124975,0.9483732,0.45315146,-0.5864109,-1.4725193,-1.8959045,-2.1714149,-2.349082,-2.539476,-2.9737787,-3.2012973,-3.3995361,-3.509306,-3.6062632,-3.6602328,-3.696979,-3.7674398,-3.8489685,-3.8902497,-3.8025775,-3.4311872,-2.8801675,-2.6171007,-2.988365,-3.345919,-3.388114,-3.3424485,-3.4849184,-3.4448543,-3.350165,-3.266417,-3.2061467,-3.1940918,-3.195522,-3.2126837,-3.0513554,-2.9829607,-3.034079,-2.9359646,-1.7278104,-1.7279269,-1.7276297
-2.301361,-2.2799387,-2.1959176,-2.0692272,-1.9091829,-1.9208679,-1.9835477,-0.10060628,-1.9849741,-1.9083958,-0.096238434,-1.745902,-1.426979,-1.1463932,-0.92685944,-0.90413254,-1.1746066,-0.19595726,-1.3810605,-1.5478373,-1.8432722,-1.7542212,-1.2924656,-0.9372896,-0.66304874,-0.41899487,-0.6982957,-1.6638362,-2.1660206,-2.2986836,-2.2795143,-2.2681422,-1.636678,-0.7990946,-0.3965458,-0.3562808,-0.62444264,-0.97387314,-0.875159,-0.6941979,-0.10574433,0.16051686,-0.16187099,-0.61209714,-0.82189727,-0.05716598,1.4896067,2.829627,4.272417,5.757367,6.776847,7.3839273,7.2349286,6.7052283,5.320384,3.1694767,1.2481183,0.6048112,0.30814582,0.2361696,0.013934121,-0.40925565,-0.7998518,-1.1637317,-1.5122752,-1.8296497,-1.9301608,-2.0512118,-2.5175176,-2.7858033,-2.8716683,-2.9338522,-2.8832278,-2.637039,-1.848952,-1.0880692,-0.7413377,-0.76591456,-0.8407367,-0.94744766,-1.1513307,-1.4438381,-1.6128991,-1.6937191,-1.7171507,-1.7397277,-1.7558093,-1.7250974,-1.6800841,-1.6646751,-1.524644,-1.3538344,-1.4988484,-1.480654,-1.5565257,-1.4240831,-1.776859,-1.8662636,-1.9513199,-2.0969543,-2.0062106,-2.0504441,-1.95787,-1.982074,-1.9019945,-1.8313947,-1.5992815,-1.2943974,-1.286485,-1.5365406,-1.4011505,-0.09644283,-0.097030394,-0.09574978
0.14693841,0.16237792,0.16101569,0.043799877,-0.2665844,-0.30898222,-0.31296095,0.12636052,-0.38900396,-0.56920856,0.12442766,-1.0850255,-1.6055114,-1.8361881,-1.9936066,-2.0442047,-1.8946712,0.1434655,-1.8098192,-1.6032712,-1.2755926,-0.9613589,-1.1859794,-1.3373661,-1.4848162,-1.5900235,-1.1188307,-0.4045435,0.7266388,1.327791,1.5201862,1.5748336,0.7143445,-0.81531155,-1.5070279,-1.7515732,-1.9360602,-2.2315915,-2.2371,-2.4512947,-2.5990329,-2.2199202,-1.7390963,-1.3305644,-0.73220456,-0.52962387,-0.6463151,-1.0355959,-1.4783611,-1.6776266,-1.7555553,-1.7717696,-1.6454148,-1.2577147,-0.52196014,0.19357938,0.7736178,0.8713253,0.88615334,0.7579433,0.49365884,0.14802766,-0.29947287,-2.1446042,-3.2964153,-3.1232169,-2.821488,-2.6149197,-2.3517992,-2.101895,-2.0793483,-2.2817805,-2.3516083,-2.3010535,-2.3922584,-2.568388,-2.2082424,-1.8739403,-1.5299966,-1.0271072,-0.4306592,0.6771593,1.5947441,2.1435668,2.503593,2.8097296,3.0318375,3.0887141,3.1259966,3.0711489,2.8927522,2.2200272,0.37824926,-1.332159,-1.4302005,-0.93997693,-0.5259635,-0.67639303,-0.20167115,0.22662045,0.0744043,-0.0019033328,-0.25329322,-0.42356426,-0.4167121,-0.5552009,-0.6257545,-0.67874193,-0.5460447,-0.57084334,-0.75468993,0.12527314,0.12558416,0.1244116
-1.7040849,-1.695025,-1.6414826,-1.6659617,-1.7269014,-1.8042386,-1.7595296,-0.6600016,-1.791223,-1.7291634,-0.6569976,-1.842158,-2.031867,-2.2229478,-2.219164,-2.3105955,-2.305213,-0.735508,-2.08458,-1.9279102,-1.8617294,-1.7177002,-1.3709617,-0.9848242,-0.68475217,0.22189616,0.51068664,-0.7486136,-1.1485206,-0.80859166,-0.6330115,-0.646992,-0.92161685,-1.9815397,-2.403741,-2.622841,-2.7093437,-2.6487494,-2.082229,-0.88419014,0.88752174,1.2760134,1.0612636,1.1383529,1.4238977,1.922754,2.2652566,2.4801528,2.6099503,2.5090744,2.1496897,1.4566706,1.0905304,0.74339247,0.23189195,-0.55690134,-0.9186996,-0.8822978,-0.744023,-0.58233416,-0.47208127,-0.513942,-0.7518851,-1.0112554,-2.10218,-2.8244257,-2.9576283,-2.8866293,-2.8819418,-2.7420056,-2.671033,-2.6270685,-2.3277736,-1.4966673,-0.16594169,0.04905206,-0.51576614,-0.8562633,-0.9596306,-1.0175099,-1.0314125,-0.5162984,0.16982192,0.5902234,0.95460695,1.2765782,1.4867061,1.6567428,1.9830282,2.2398646,2.1892266,1.909109,1.7905161,1.3095657,0.78857696,1.1580201,1.2105018,0.9233269,0.53004694,0.3591964,0.34011498,0.122728765,0.06025204,-0.17950091,-0.09364694,-0.043297738,0.21322685,0.30753708,0.4070088,-0.29120165,-0.26139253,-0.65713763,-0.657523,-0.6566015
-1.2248989,-1.3328662,-1.5182202,-1.7023432,-1.7879026,-1.8102903,-1.885901,-2.3214505,-2.0277276,-1.9557168,-2.3207147,-2.019744,-2.1132572,-2.2333074,-2.208273,-2.1987576,-2.4100964,-2.3477712,-2.4911942,-2.4523191,-2.2813878,-2.386695,-2.3064387,-2.2098496,-2.1943727,-1.7733262,-0.09225102,2.052114,2.9195418,3.058488,2.9622598,2.7165356,1.5483532,-0.09789936,-0.7663907,-1.0722444,-0.97356415,-1.0008235,-0.7462601,-0.04853484,2.1001022,4.703925,6.7733173,7.9125404,8.78698,9.04747,8.988932,8.840562,8.577704,8.178937,7.8522863,7.220215,6.420626,5.243211,3.2841525,1.4041619,0.5021553,0.4501755,0.5535493,0.6956901,0.7220892,0.35755482,-0.36939153,-0.839377,-0.9862945,-1.724915,-2.166295,-2.3980181,-2.4050531,-2.1971896,-2.0860558,-1.9983667,-1.7281859,-1.1851814,-0.06893816,1.1186028,1.6523985,1.8987966,2.2309585,2.516615,2.9693906,3.7003121,4.053997,4.1631694,4.1906486,4.1597033,4.105286,4.1520495,4.237755,4.2220364,3.9250674,3.2063723,1.9738849,0.28776595,-1.1122091,-1.3235047,-0.97374606,-1.212781,-1.3338304,-1.2309389,-1.1662103,-1.1987518,-1.1615648,-1.3518041,-1.3284864,-1.8148365,-2.398356,-2.5903945,-2.667888,-2.7568624,-2.711359,-2.3211985,-2.3214033,-2.3207388
-0.8131084,-0.8204826,-0.77353483,-0.70595324,-0.6157784,-0.6790481,-0.7913174,0.7831199,-0.913594,-0.9319765,0.7847403,-0.88605905,-0.65951407,-0.40926632,-0.28293192,-0.21185598,-0.16145232,0.7432574,-0.24714589,-0.55246323,-1.1672642,-0.8906646,0.025933184,0.5902183,1.0013359,1.6075068,1.6831683,0.26167494,-0.7951631,-0.8867646,-0.3710973,0.30253667,0.79744565,1.284832,1.380291,1.4667506,1.4454073,0.797803,0.82316124,1.0789199,1.8601328,2.294304,2.1356096,1.6110318,0.91765785,0.9096245,1.1486193,1.3242724,1.5962871,1.8947368,2.0355837,2.0226986,1.9361943,1.7680464,1.5928097,1.575854,1.5576496,1.4850886,1.5459801,1.78175,1.8891445,1.8055815,1.7296739,0.7698737,0.07700005,-0.36758393,-0.54295,-0.69668174,-0.85992783,-0.9776226,-1.1167766,-1.2223843,-1.1714653,-0.9312075,-0.559652,-0.4271687,-0.23887134,-0.36385018,-0.5062718,-0.6008066,-0.7144271,-0.8740935,-1.0070646,-0.91517276,-0.7869328,-0.63432896,-0.54717493,-0.4656134,-0.24732725,0.065026104,0.6068107,1.2904105,1.5018978,1.8435717,1.6126096,2.315815,2.1020098,1.9168514,1.864944,1.6014879,1.7293539,1.6441301,1.8245338,1.7427992,1.7981976,1.7731532,1.9161384,1.820083,1.7648735,1.2488325,0.9127333,0.78518534,0.7851211,0.78501636
-0.35475323,-0.4015143,-0.5356622,-0.6109406,-0.59488815,-0.55347764,-0.58426225,-2.0120845,-0.6497303,-0.578339,-2.0130177,-0.5035562,-0.49563873,-0.50502014,-0.40229413,-0.14421204,-0.27961016,-1.9886475,-0.5438696,-1.1962099,-1.6007798,-1.460497,-0.91767806,-0.57527,-0.38309282,0.5730058,2.7142415,4.261362,4.762458,4.784575,4.636556,3.8700793,2.0862756,0.30430913,-0.5461215,-0.92382234,-0.79029834,-0.6700265,-0.6219994,-0.2313513,0.9437138,1.8512578,2.151779,2.2468905,2.1861978,1.7972214,1.1801156,0.76219136,0.5193069,0.35202485,0.96056056,2.9607182,5.035397,7.065172,8.719929,9.539512,9.574912,9.506246,9.4252205,9.363952,9.274229,9.185809,9.088535,8.10474,5.0912437,2.508197,0.57740974,-0.6137185,-1.3553181,-1.4477878,-1.4087403,-1.392998,-1.261592,-0.78019017,0.9264344,3.1260605,4.267412,4.6587825,4.866108,4.806597,4.5533485,4.1292987,3.6897988,3.407864,3.1104016,2.823443,2.5970852,2.313233,1.9147391,1.6308287,1.265028,0.80234706,0.7225828,0.35113138,-0.123615414,0.52572536,0.549927,0.40829676,0.35005265,0.2745367,0.4865451,0.91455775,1.0451126,0.78780353,0.5839287,0.08535004,-0.7466631,-1.3194326,-1.6030735,-1.8501878,-2.110653,-2.0135965,-2.013648,-2.0132596
-3.1845984,-3.1419911,-3.0506124,-2.910981,-2.8895764,-2.9428842,-2.9273062,-3.8423624,-2.832528,-2.9282506,-3.8434176,-2.9423814,-3.0756147,-3.1300344,-3.0934057,-3.202189,-3.3388937,-3.8230119,-3.3469214,-3.204317,-2.9635146,-2.9143915,-3.2192354,-3.2579904,-3.35753,-3.8346248,-3.9317765,-2.9066834,-1.6853291,-1.2909904,-1.5566294,-2.4131072,-4.473443,-5.586617,-4.9153585,-3.8184633,-3.3609633,-3.0231109,-2.8333306,-2.8805847,-2.9527493,-2.6653838,-2.2218165,-1.8275647,-0.9558356,-0.16192713,0.3863508,0.44815242,0.29858792,0.106931835,-0.3304116,-1.0162134,-1.5730319,-1.7857704,-1.6877835,-1.7085845,-1.8006759,-1.8306847,-1.8423179,-1.9299389,-2.0970187,-2.433454,-3.1900337,-4.775163,-5.412407,-5.105535,-4.7270403,-4.314427,-3.8674033,-3.545836,-3.4136605,-3.4900904,-3.5496416,-3.6861904,-3.9443493,-4.3146353,-4.4894824,-4.405817,-4.2508464,-4.108014,-3.942804,-3.2903047,-2.7280602,-2.4121385,-2.210585,-2.0447643,-1.9135737,-1.8680236,-1.8283079,-1.9104154,-2.2734733,-3.095724,-4.3813753,-4.9542227,-4.610621,-4.727857,-4.557642,-4.473366,-4.3536706,-3.978096,-4.0541005,-4.229158,-4.3633633,-4.2820477,-4.314295,-4.1058397,-3.780768,-3.6076257,-3.472267,-3.2360134,-2.985176,-3.8433423,-3.8434453,-3.8434458
