0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
9.084831,9.100661,9.103733,9.171996,12.310911,11.963292,11.539394,9.509943,7.599352,5.378714,3.7191803,2.6515303,2.5439935,2.3267243,2.0663886,2.282719,2.5005007,2.1680684,1.9392195,1.4558896,1.0787787,0.6363032,0.31163058,0.29109973,0.5838035,0.6929837,1.1078682,1.3277243,1.7846119,2.157161,1.9967904,1.7988791,1.6190947,1.2360404,1.0263369,0.8679381,0.7109488,0.48905647,0.33025718,-0.15469474,0.66737336,0.8573112,0.52616274,0.23643377,0.43441576,0.9536914,1.5382421,2.2283986,3.0874672,3.8061352,4.2238536,4.5135183,4.797851,4.8747396,3.9560194,2.8042097,1.7440625,1.1011927,0.8721458,0.92855036,0.9288044,0.8081952,0.7073588,0.63103443,0.65691644,0.7770159,1.0491993,1.3840278,2.1664329,2.7241182,3.3815856,3.4487877,3.517164,2.7932246,1.8440368,1.224314,0.8480995,1.0067974,1.2870388,1.2704594,1.0786985,1.0242692,0.95510364,0.83414567,0.89184237,0.9166974,0.88416356,0.8204007,0.84356415,0.8023653,0.90635103,1.075423,1.1289446,1.3034792,1.6043506,1.9300106,2.510767,3.4020162,4.27444,5.309793,6.14213,6.3780746,7.1364317,7.6583486,8.42696,9.064299,9.064774
-0.13841075,-0.13719621,-0.13932285,-0.13559198,-2.0354996,-2.0724351,-2.1076033,-2.303318,-2.5882423,-2.6623683,-2.5836287,-2.71037,-2.8080812,-2.7975912,-2.6997056,-2.704029,-2.7548513,-2.786312,-2.7992666,-2.7968535,-2.7580833,-2.7136767,-2.5771735,-2.393686,-2.3142567,-2.3201518,-2.3545628,-2.4858847,-2.503637,-2.7411144,-3.2784343,-3.4639173,-3.4457433,-3.4142504,-3.2955654,-3.0950408,-2.901429,-2.39963,-1.7399403,-1.5361544,-1.6050348,-1.5057923,-1.7724401,-2.0960174,-2.1203074,-1.987181,-2.0196488,-2.5669866,-3.0791588,-3.2197497,-3.1685827,-3.026517,-2.8130574,-2.8833382,-2.4973166,-1.6046962,-0.8637468,-0.6791547,-0.95233274,-1.4153066,-1.5502231,-1.5908659,-1.5648801,-1.4571975,-1.2924795,-1.2465554,-1.1946343,-0.98759025,-0.7915404,-0.90392715,-0.8341064,-0.455215,-0.4640615,-0.40662703,-0.23087266,-0.08101311,-0.24582043,-0.86527014,-1.1281737,-1.0172472,-0.7525543,-0.32893747,-0.24499655,-0.07608232,-0.005787581,0.2070595,0.37033898,0.53143394,0.6282698,0.60404843,0.60070664,0.62819314,0.628847,0.53182757,0.34039173,0.121513456,0.023313524,-0.11933514,-0.05593364,0.06924263,0.14203855,0.32152438,0.42737284,0.3805141,0.29859775,-0.1381852,-0.13801798
-0.14929074,-0.1563379,-0.15696567,-0.1966825,-1.2386447,-1.4149878,-1.4489751,-1.7663138,-2.0096028,-1.9415913,-2.0381498,-2.0201287,-2.008068,-1.92536,-1.8572919,-1.7568648,-1.733489,-1.8361473,-1.9715674,-2.0854611,-2.1452422,-2.0833762,-1.9415879,-1.8981656,-1.8137145,-1.7639995,-1.7080405,-1.7370344,-1.674995,-1.6515985,-1.8332171,-2.0571291,-2.1772466,-2.3692527,-2.4302955,-2.5166354,-2.459974,-2.5593953,-2.8093438,-3.1797976,-2.7206175,-2.4657133,-2.5409327,-2.5233557,-2.4391804,-2.3310285,-2.3219318,-2.4493737,-2.5535781,-2.4752102,-2.3646965,-2.2882857,-2.0182714,-1.896727,-1.8775401,-1.8206055,-1.5635469,-1.6202394,-1.73609,-1.7402644,-2.0845556,-2.4319837,-2.6047616,-2.7605472,-2.936685,-3.0092182,-3.0108008,-3.1265135,-3.360993,-3.4019666,-3.1621437,-2.305791,-1.5244161,-1.489474,-1.4260159,-1.6666415,-1.6612067,-1.559132,-2.0487394,-2.5682864,-2.9873824,-3.2815862,-3.3462741,-3.4184394,-3.4683664,-3.5736089,-3.6215005,-3.6344247,-3.6076927,-3.6801534,-3.692348,-3.631232,-3.6012692,-3.5969858,-3.6076841,-3.5144272,-3.1682057,-2.7557695,-2.2230375,-1.9927444,-2.154326,-2.1386995,-2.077656,-2.0287943,-1.9519691,-0.1401333,-0.13940704
2.0417428,2.0378249,2.0380282,2.0147996,-1.2535949,-1.127972,-1.0189381,-0.94389737,-1.2122263,-1.2295685,-1.1122141,-1.1081188,-1.1784317,-1.1513186,-0.9994002,-0.9343543,-0.98481405,-1.0213792,-1.0469483,-1.0215915,-1.0638465,-1.1513808,-1.1879027,-1.2363815,-1.2295055,-1.19544,-1.0852602,-1.0820513,-1.1023438,-1.2121603,-1.4659356,-1.568191,-1.5695057,-1.6345451,-1.5898569,-1.5107462,-1.6438816,-1.8125467,-1.6256132,-1.3072195,-0.84359896,-1.4760718,-1.6220751,-1.8382409,-1.6571996,-1.2958083,-0.9826119,-0.95684105,-0.44820422,0.82532585,2.2657635,3.6353781,5.9809885,7.3953476,8.759462,9.639091,10.053198,10.052884,9.21195,7.832245,5.9219804,4.669434,3.9315305,3.4616761,3.4137459,3.4727156,4.120342,5.4253325,6.943858,8.180711,8.883684,9.488945,9.653761,10.061517,10.286638,10.316482,9.761877,7.9913416,6.084176,4.804786,3.65312,3.152252,3.085373,2.9482515,2.8784263,2.7848897,2.788671,2.979981,3.1725996,2.9926052,2.9185514,2.8933258,2.9172215,2.8491476,2.755262,3.1373396,3.722651,3.8196893,3.8634505,3.6401563,3.3866005,3.4161193,3.2913063,3.0439396,2.89544,2.0478091,2.0469933
0.92190325,0.9294604,0.9291753,0.94965804,1.8097621,1.8098047,1.7164106,1.7375994,2.001445,2.2916539,2.3757923,2.3195565,2.3518567,2.492591,2.53752,2.5871372,2.8370094,3.1280468,3.2908454,3.1990747,3.2890425,3.4145398,3.3635278,3.1361656,3.0085835,2.944136,2.6774185,2.5715966,2.3385496,2.0834427,2.206339,2.4657035,2.792552,3.119882,3.1710215,3.289922,3.3847914,3.3178403,2.9127274,2.1328747,0.5163552,0.27298838,0.29527655,0.42457652,0.38983715,0.25445622,0.10584955,-0.023507372,-0.08063871,-0.26396483,-0.37519127,-0.45735654,-0.4986447,-0.70865536,-0.99254787,-0.9682011,-0.76334614,-0.61526227,0.41796517,1.3785589,2.3164816,2.733641,2.8034194,2.8247216,3.1145449,3.2747216,3.1074195,2.8994312,2.5210264,1.5436442,0.63561827,-0.35321513,-0.8114217,-0.8249794,-0.777581,-0.666779,-0.15404782,1.1013296,1.8736892,2.2457867,2.3994079,2.0265262,1.902154,1.7031113,1.5920382,1.4177738,1.2507734,1.0761139,0.89482653,0.93521076,0.8550936,0.60012305,0.5496402,0.6116687,0.73482263,0.59875375,0.29340342,0.03179203,-0.29070854,-0.31485826,0.08739656,-0.14285995,-0.29802084,-0.31559283,-0.5767852,0.90196884,0.90080345
-0.7059278,-0.71251607,-0.7128844,-0.722705,-2.7050653,-2.5165122,-2.363854,-2.1083121,-1.9419997,-1.6938616,-1.5231369,-1.4012736,-1.4927404,-1.5835507,-1.6128356,-1.6143187,-1.4799395,-1.1465888,-0.65969956,-0.49385744,-0.5107064,-0.3906788,-0.30841663,-0.3257766,-0.45775002,-0.49949765,-0.7668363,-1.0068696,-1.2234988,-1.4278407,-1.420855,-1.2503214,-1.0282032,-0.65458244,-0.40450037,-0.042355597,0.4546702,1.0362189,0.98330384,1.4034144,1.6645869,1.156709,0.6971252,0.42478427,0.6545707,1.3011887,1.9711126,2.0732884,1.4709936,0.9379822,0.73931557,0.509136,0.41739276,0.7175949,0.84010303,0.49294004,0.0975066,-0.046873122,-0.73208904,-0.8248966,-0.41916424,-0.053878456,0.206649,0.44523385,0.50447947,0.13017657,-0.22592092,-0.43167216,-0.62418157,-0.62371016,-0.523819,-0.6299502,-1.1033094,-0.89993644,-0.8213427,-0.6606353,-1.1942449,-2.1398704,-1.8756095,-1.4935831,-1.1247016,-0.8720345,-0.80064225,-0.65202737,-0.63071537,-0.58603305,-0.5245466,-0.5860597,-0.58619106,-0.50871176,-0.42320275,-0.46260852,-0.35314202,-0.123126194,0.044470906,0.10014157,0.08425577,-0.012121439,-0.17649771,-0.73409635,-0.97707474,-1.0156183,-1.2737032,-1.3921841,-1.5909224,-0.69663465,-0.6964585
-1.8474131,-1.8478549,-1.8487122,-1.8350725,-2.143791,-2.2169552,-2.2963173,-2.8592198,-3.1987877,-3.0104902,-2.8096814,-2.473729,-2.505126,-2.3676841,-2.2344782,-2.0950336,-1.901609,-1.7551129,-1.6148138,-1.6455994,-1.6623302,-1.6662475,-1.710777,-1.6905749,-1.7104844,-1.7075435,-1.7747625,-1.7829404,-1.8530328,-1.8568286,-1.5831026,-1.4945908,-1.5622844,-1.4501543,-1.2601786,-1.1233011,-1.1152998,-1.0935942,-0.9761772,-0.5086557,-0.39730644,-0.40637967,-0.8200026,-1.2401793,-1.4400699,-1.5210254,-1.7405986,-1.7434201,-1.6316082,-1.629309,-1.6826755,-1.7692724,-2.1757178,-2.4714148,-2.3242517,-1.9025766,-1.5558324,-1.2522539,-1.1738907,-0.9096936,-0.4882636,-0.30637038,-0.28282678,-0.25403422,-0.30917078,-0.54831177,-0.85876566,-1.1616622,-1.5093074,-1.7855057,-1.8035874,-1.6259555,-1.6816632,-1.4722304,-1.3222812,-0.9797429,-0.74099725,-0.568138,-0.2888786,-0.20345506,-0.18753242,-0.19042596,-0.13656634,-0.081500635,-0.14324477,-0.21728031,-0.23229381,-0.22128253,-0.23664808,-0.30050755,-0.39717564,-0.66788083,-0.73272026,-0.81295884,-1.0259956,-1.3613803,-1.6077175,-1.7915175,-2.0993156,-2.34162,-2.2209105,-2.0310297,-1.9710593,-2.010386,-2.0116878,-1.8443125,-1.8436707
3.2028663,3.1986904,3.1957994,3.1636686,-0.5073576,-0.62394077,-0.6930316,-0.7897458,-0.7719716,-0.5186964,-0.10753459,0.16241962,0.2585038,0.40828168,0.45414388,0.38672227,-0.019803762,-0.009595394,-0.06324047,0.13749713,0.27578068,0.3805834,0.46134514,0.4832539,0.507957,0.43442386,0.3489281,0.19571644,0.08767533,-0.24248254,-0.766825,-0.6600549,-0.45233268,-0.11804694,0.025892973,0.5082192,1.2253278,3.0811772,5.6981473,7.591323,9.486142,9.197165,8.76679,8.341456,7.927369,7.2603245,5.763681,3.6033313,1.9948568,1.1065092,0.67640805,0.55624,0.5946716,0.39224303,0.61364883,0.7750952,0.83593786,0.67286515,-0.023547351,-0.57360506,-0.63074774,-0.5343833,-0.3672148,-0.1057415,0.20166427,0.5599698,0.8523707,1.1026833,1.4172982,1.73933,1.9928209,2.3521223,2.122326,1.9010518,1.7298415,1.6055825,0.8208593,0.001575172,0.36084056,1.0629475,2.173688,3.6660957,3.8931706,4.4108586,4.750164,5.3741446,5.794995,6.0715036,6.3410234,6.443555,6.5046053,6.8518124,6.9748645,7.0968347,7.290576,7.5799475,7.9608145,7.98413,7.4943466,6.638199,5.979205,5.786744,5.3620763,4.998029,4.4323006,3.20507,3.2043376
-0.17960039,-0.16680224,-0.16612297,-0.110823825,-0.41807672,-0.39439178,-0.49545002,-0.7367277,-0.7999101,-0.90811974,-0.78174853,-0.79361475,-0.80082446,-0.86063063,-0.9568474,-1.032185,-0.9474032,-0.68077826,-0.41196653,-0.010073319,0.53679186,0.8487657,1.0786374,1.2763662,1.2458792,1.136241,1.018693,0.8626162,0.8278187,0.47475818,-0.21846958,-0.54973644,-0.7503654,-1.128703,-1.3856316,-1.4504805,-1.4834942,-1.3908064,-1.1890842,-0.8016,-0.93114555,-1.1313245,-1.358701,-1.6495655,-1.8459884,-1.9823574,-1.996803,-1.7409964,-1.5477821,-1.4560425,-1.4236209,-1.3531164,-1.5456252,-1.5411181,-1.1653655,-0.56947744,-0.14279325,0.0075528175,0.5633214,0.89925945,1.2874343,1.5126044,1.642353,1.7487345,1.8800156,2.2231822,2.3666468,2.163671,1.5190183,1.0583225,0.4594767,-0.15937515,-0.41966224,-0.36705667,-0.14396617,-0.12445356,-0.10941452,-0.068872824,0.3288164,0.47824457,0.38335937,0.23513335,0.2474778,0.15556866,0.16540885,0.20328271,0.18251348,0.24558896,0.1340964,0.20586014,0.17901674,0.18957521,0.12734991,-0.10738087,-0.21706115,-0.17235997,-0.43549845,-0.41534835,-0.1793853,0.36720014,1.0200257,1.5462862,1.5539992,1.4905324,1.3628924,-0.19674444,-0.19696511
-3.3803177,-3.375214,-3.3739011,-3.3518305,-2.2534835,-2.0933566,-1.95043,-0.7973222,-0.16286543,0.37301448,0.47238037,0.39852852,0.3239535,0.2894435,0.27979422,0.32955948,0.5378139,0.90990055,1.17309,1.1352091,1.0802073,1.1303378,0.9670296,0.73537713,0.55831194,0.5502091,0.4249695,0.4962599,0.43826526,0.46629298,0.5832797,0.674379,0.8556233,1.0419033,1.1483619,1.1067947,1.1714457,1.4583322,1.0495832,0.43464485,-1.5627877,-1.1820949,-0.39833397,0.47002155,0.7915083,0.9311074,0.8992707,0.47682485,-0.02683577,-0.33216834,-0.42812654,-0.71400446,-1.3544226,-2.2140937,-3.1289282,-3.2598307,-2.9500976,-2.5256522,-2.1197662,-1.4326143,-0.21495289,0.32078776,0.5086435,0.6602744,0.74629146,0.29669896,-0.13901141,-0.5184462,-0.98456687,-1.8826107,-2.5947275,-2.9191794,-2.924382,-2.6755295,-2.2675247,-1.7609928,-1.2183518,-0.58763796,0.23947631,0.78471756,1.0689282,1.0056988,0.98388946,0.8840612,0.8070024,0.6794014,0.5699961,0.42103723,0.32669815,0.32614267,0.22062555,-0.09435005,-0.17885476,-0.19781819,-0.26903325,-0.6135771,-1.271864,-1.8242714,-2.367567,-2.874092,-3.071877,-3.177982,-3.4616303,-3.6382008,-3.743074,-3.3889914,-3.3890224
