0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
12.483635,12.670713,12.891395,12.906381,12.844911,12.6796875,11.062656,11.59467,10.193413,7.570078,4.923781,3.8548517,2.5457532,1.7391157,1.2456086,-0.6737563,-0.75502574,-0.41134602,-0.0964973,-0.03516107,-0.02143474,0.60749805,1.646547,2.1915696,2.4327526,1.8170185,1.0371861,0.69652116,0.36624402,0.12686482,-0.14926963,-0.72568464,-1.0043354,-1.2660052,-1.4066095,-1.3596361,-1.0874664,-0.9800836,-1.1118872,-1.2234384,-1.3255877,-1.5434406,-1.8051355,-1.9250628,-1.7083726,-1.640855,-1.5541611,-1.4940338,-1.3090367,-1.1012045,-0.89278376,-0.4831124,0.07104281,1.0051525,1.6256804,1.8308206,1.2725744,0.40965527,-0.098020196,-0.31788185,-0.47897473,-0.5967629,-0.4761234,-0.27551293,0.076325685,0.48273647,1.0848649,1.4334202,1.7305006,2.0391665,2.3120887,2.489261,2.656252,3.0923474,3.4823189,4.109796,4.986518,5.6662083,6.2385445,6.5340834,7.2364683,8.687862,9.554049,9.600793,9.804879,10.056776,10.840445,11.24434,11.062311,11.062242
-2.300397,-2.3084683,-2.2093694,-2.1347814,-2.2253458,-2.2903328,-1.3615074,-2.6099765,-2.922057,-3.394579,-2.9658337,-2.614102,-2.2660496,-1.9977411,-1.8474863,-2.1069562,-2.7254682,-2.6197586,-2.3124518,-2.0616758,-1.8431828,-1.5937858,-1.4993794,-1.1619511,-0.6798607,-0.34601295,-0.15840116,-0.19296065,-0.121889144,-0.106241465,-0.2429099,-0.41749972,-0.8890895,-1.2741332,-1.4001398,-1.2909858,-1.2362506,-1.1438,-1.2521933,-1.4493234,-1.5811887,-1.4726322,-1.1076305,-0.12620045,1.005508,1.406427,1.6729815,2.021349,2.2633827,2.318325,2.3536131,2.3208935,1.8714843,1.2022635,0.13671672,-0.586568,-0.8511739,-0.51754534,-0.47945482,-0.44425076,-0.44689035,-0.59794515,-0.792801,-1.0297471,-1.2972516,-1.4441764,-1.4700322,-1.4220711,-1.387864,-1.3940806,-1.399738,-1.3134874,-1.2919862,-1.3017058,-1.2837217,-1.338116,-1.7253454,-1.7169256,-1.83379,-1.3531815,-0.9694165,-1.3512726,-2.0571702,-1.9681282,-1.9537125,-2.1536984,-2.3028836,-2.048303,-1.3612005,-1.3611417
-1.9292775,-1.8846478,-1.681452,-1.6495605,-1.7801332,-1.8523269,-1.0895853,-1.9752526,-1.8329718,-1.1772316,-0.9645383,-1.0059137,-1.1486961,-1.2637862,-1.7067894,-3.0546997,-3.8795378,-4.1926985,-4.2915745,-4.340304,-4.2440796,-3.6376438,-2.8804975,-2.4551318,-2.0344083,-1.7583685,-1.0081415,-0.5671222,-0.621395,-0.7383746,-1.2302501,-2.1960564,-2.7787642,-3.2059934,-3.471927,-3.5104375,-3.40952,-3.310763,-3.2676544,-3.2129607,-3.1959934,-3.1593642,-3.2041988,-3.36251,-3.5157418,-3.5405493,-3.5721407,-3.6512125,-3.749764,-3.7868514,-3.7804828,-3.672279,-3.2680612,-2.564451,-1.8893678,-1.530596,-1.4402663,-1.9433359,-2.1802392,-2.3325977,-2.6143584,-2.8943624,-3.0642822,-3.1600845,-3.270959,-3.4232874,-3.5908208,-3.687633,-3.7405465,-3.7679887,-3.7759714,-3.7969875,-3.8440516,-3.8343244,-3.8469992,-3.7204843,-3.3188024,-3.0651562,-2.8213358,-2.8981433,-2.7710376,-2.447003,-2.344498,-2.3634899,-2.3611708,-2.2289426,-2.0418937,-1.7390482,-1.0896943,-1.0896968
-3.015959,-3.1550004,-3.1943097,-3.1779962,-3.161365,-3.0649247,0.448864,-2.88915,-2.760488,-2.4542346,-1.9996917,-1.7543387,-1.4421206,-1.229869,-1.0266643,-1.5190294,-2.2214155,-2.4907298,-2.5189724,-2.520904,-2.4234266,-2.1335194,-1.7327918,-1.1200762,-0.46869072,-0.2894943,-0.7398027,-1.1371069,-1.0747957,-1.0797744,-1.0848362,-0.99654645,-1.1392066,-1.1562519,-0.915758,-0.27635503,0.5212686,1.6637247,2.1881058,2.4311185,2.2538059,1.6306835,1.0819353,0.34610167,-0.20898105,-0.28521588,-0.37045777,-0.42334545,-0.5215614,-0.5979912,-0.62874705,-0.64017856,-0.705781,-0.8321598,-1.5776806,-1.9424524,-1.7635286,-1.1678143,-0.88613665,-0.8121906,-0.91089463,-1.091328,-1.2567842,-1.4703958,-1.7249005,-1.8724825,-1.8504307,-1.7689946,-1.6716828,-1.5375879,-1.322223,-1.0650849,-0.84726596,-0.35627106,0.24545348,1.0123299,1.2999395,1.6883049,1.4229071,1.4721578,1.4598498,0.9380774,-0.39122486,-0.23484018,-0.21236491,-0.4855693,-1.0614563,-1.2259736,0.44917455,0.44924983
-0.43863118,-0.40123206,-0.42727667,-0.4860383,-0.73783827,-1.0049099,0.3105638,-1.2188575,-1.0822176,-1.0084848,-1.3090675,-1.6862897,-1.7106645,-1.8305591,-2.0456018,-1.136379,0.35184747,1.3761599,1.9215219,2.0973048,1.8664447,1.0635564,-0.44510794,-1.5772092,-2.2066786,-2.3023307,-2.6937249,-2.9857507,-2.947499,-3.108779,-3.0962703,-2.4174113,-1.7117634,-1.1395571,-0.62529856,-0.5717232,-0.9417678,-0.91727585,-0.6914953,-0.39233398,-0.04677838,0.3898523,0.8381202,1.1917766,1.2712164,1.1969281,1.1579502,1.0962192,0.91838527,0.7235222,0.5673516,0.146543,-0.672605,-1.7498348,-2.240601,-2.2054548,-1.9501905,-1.4418468,-1.0772605,-0.7549994,-0.03465872,0.6613343,1.3846875,2.0065882,2.5769181,3.0242677,3.394146,3.4922125,3.4984937,3.4900188,3.4347258,3.3152652,3.144814,2.858188,2.453175,1.6766052,0.12248891,-0.56901133,-1.2539434,-1.3773351,-1.2780025,-1.3966643,-1.1044991,-1.3829126,-1.3465455,-1.2103114,-1.1702149,-0.4833419,0.31059825,0.31062752
-2.0760608,-2.1982288,-2.29332,-2.3421235,-2.311171,-2.392778,-1.4109133,-2.3607085,-2.2201493,-2.2300391,-1.9816008,-1.787533,-1.2543559,-0.94185495,-0.15651232,0.27205434,-0.6874133,-0.82670593,-0.6862338,-0.49222592,-0.42882872,-0.8104382,-1.4156876,-1.9015956,-2.1145496,-2.0327525,-1.8489163,-1.5747551,-1.2976538,-0.54738724,0.59872043,1.6799438,2.1807196,2.3933973,2.6216927,2.9597518,3.292424,3.2319345,2.907807,2.335273,1.7013288,1.1232364,0.69032073,0.14640006,-0.21397968,-0.3633712,-0.48346326,-0.53806096,-0.5768678,-0.5733584,-0.6071253,-0.71742874,-0.87845325,-0.945294,-1.128274,-1.0778487,-0.8960449,-0.8146399,-0.7896017,-0.91618514,-1.1245785,-1.1297885,-0.96294105,-0.5878149,-0.2610605,0.11157885,0.4514369,0.5750789,0.60470015,0.713303,0.84578884,0.861436,0.9317838,1.0036135,0.78322065,0.26853344,-0.10443579,-0.41284114,-0.768157,-0.88077736,-1.6585941,-2.2754035,-2.384768,-2.0299542,-2.0152836,-2.2543473,-2.348147,-2.213465,-1.4107795,-1.4107088
-1.5188112,-1.79145,-1.9589335,-1.9494851,-2.1424608,-2.2650223,-2.0472424,-2.3455746,-2.4371881,-2.868277,-2.886013,-2.7134619,-2.4338071,-2.2239997,-1.6698422,0.5456974,1.8699901,2.6175146,2.8192,2.9200354,2.8467681,2.4151635,1.2045286,0.49657017,-0.29016477,-0.5064973,-0.54711294,-0.41968232,-0.06942515,0.913272,2.6895032,4.9132514,6.138496,6.817143,7.1664066,7.211067,7.0162163,6.578615,6.2079525,5.8124385,5.4231358,4.81252,4.2202425,3.5760512,3.0018523,2.8300447,2.6216,2.4403698,2.280897,2.1627023,1.9909803,1.5727025,1.2557616,1.1228698,0.7376449,0.31786683,0.11283453,0.3990266,0.6349945,0.866675,1.2648079,1.8945341,2.5079093,3.0002618,3.1041355,3.0972092,2.9846642,2.908091,2.8269677,2.7070403,2.589029,2.5630102,2.594153,2.3575435,1.9331276,1.2153087,0.03672228,-0.47570556,-0.6353175,-0.84120667,-1.559913,-2.0288417,-2.2289138,-1.7484971,-1.8523927,-2.0227675,-2.1240551,-2.5435278,-2.0473015,-2.0473154
-0.8306523,-0.9444557,-1.046109,-1.0455011,-1.0028449,-0.90854234,0.76704365,-0.8754195,-1.2687403,-1.6426208,-1.050749,-0.6957114,-0.15158406,0.16576555,0.7121501,0.68693286,-0.033197552,-0.24524015,-0.10084447,0.14509356,0.57902074,1.1913353,1.1842589,1.3637948,1.7132492,2.0551953,1.9069446,1.4421382,1.886818,2.1397898,2.4785066,2.757719,2.152905,1.4843415,0.9876236,1.0020212,1.1960504,1.5183171,1.6711614,1.7074046,1.6384342,1.4192741,1.4021884,1.755585,1.9472412,2.0101738,2.147202,2.3986332,2.5738773,2.68752,2.749678,2.8922358,2.6241493,2.2322493,1.3319253,0.8091718,0.6822765,0.8786287,0.87609166,0.79781497,0.5184765,0.19810843,-0.050981294,-0.28381366,-0.47381598,-0.40219206,0.0015065372,0.33239022,0.5946945,0.907487,1.3332874,1.663523,1.8799478,2.572908,3.2259402,3.703333,4.0238037,4.0605106,3.7336154,3.9017706,3.822703,2.8694186,1.8356186,1.9574385,1.6500959,1.2097503,0.61896145,0.39681017,0.76724,0.7672788
0.13822535,-0.22341117,-0.48437202,-0.4416315,-0.63975275,-0.6991795,-1.1460758,-1.1727779,-1.5967522,-2.0031037,-1.7155769,-1.2865913,-0.93572944,-0.60747004,0.16524486,2.8195257,4.3281894,4.9874907,5.200506,5.0460615,4.855484,3.9712844,2.5780468,1.1647894,-0.3808791,-0.8674467,-0.99522865,-0.8232,-0.7641834,-0.43515512,0.17913418,0.95247996,1.234883,1.2702358,1.11775,0.77902246,0.47587132,0.46812075,0.8775755,1.6329392,2.6736994,3.9901137,4.835059,5.4141006,5.686215,5.7577934,5.7608786,5.7185116,5.6221266,5.49632,5.4689803,5.15129,4.6398854,3.8208857,2.9776516,2.2780995,2.1382804,2.9255457,3.3631387,3.6039338,3.7036881,3.678834,3.410959,3.0518165,2.6296177,2.2303164,1.6768641,1.4063486,1.2131307,0.94075644,0.5872823,0.33639908,0.16547193,-0.23589067,-0.4363627,-0.6572062,-0.92465717,-1.0766943,-1.1371994,-0.88543457,-0.680474,-0.5695867,-0.6801665,-0.5692593,-0.52940446,-0.35120666,-0.2174325,-0.49875796,-1.14614,-1.1461648
-3.7428474,-3.5184267,-3.246581,-3.1877031,-3.1304543,-3.1393166,-3.7154844,-3.246208,-3.069118,-3.0271618,-3.3572052,-3.563019,-3.6900306,-3.9287689,-4.4223166,-4.462146,-3.5309324,-2.6687067,-2.2916934,-2.204445,-2.5869231,-4.0864725,-5.5667024,-5.605172,-4.779438,-4.0013905,-3.2355957,-2.9821367,-2.8856323,-2.8041131,-2.7143576,-2.2039125,-1.565078,-0.76728046,0.025357068,0.31163216,-0.09080937,-0.5661084,-0.9907408,-1.4641955,-1.8676333,-1.9932957,-1.8313882,-1.619776,-1.5609004,-1.574395,-1.6356308,-1.7613761,-1.9963303,-2.2403321,-2.4239917,-2.8687453,-3.3587554,-3.9021251,-4.303341,-4.425228,-4.4296722,-4.3657365,-4.257562,-4.2575083,-4.117946,-3.7815247,-3.323803,-2.7562594,-2.283946,-1.9089763,-1.533953,-1.4014316,-1.3857251,-1.3763444,-1.4001392,-1.4735267,-1.5716946,-1.694174,-1.9629841,-2.4735389,-2.8040597,-2.7592165,-2.7520578,-2.7021394,-3.192034,-3.2879348,-2.8757792,-2.954522,-2.8399506,-2.7799788,-2.767945,-2.7408302,-3.71564,-3.7156425
