0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146
10.851685,10.893714,10.822458,10.357447,9.643675,9.266012,8.854802,8.854931,8.787295,8.217811,7.3447714,6.2466817,5.0964866,4.207098,3.4895077,2.8106167,2.2842345,1.7689106,1.9405996,1.9487722,2.0780256,2.3255143,2.9163623,4.364752,4.887929,4.680257,4.3805037,3.8226,3.29327,3.0011141,2.4213903,2.3073664,2.1260607,2.4501371,2.7057204,2.7601948,2.2715433,1.5139388,0.9144226,0.34464,-0.64568275,-1.0499538,-1.2716758,-1.2426331,-0.90634507,-0.01630807,1.2048198,1.6292351,1.957371,2.292166,2.472589,1.683465,0.65271914,0.24996468,-0.28222317,-0.881039,-1.2906666,-1.4684867,-1.6017494,-1.6754221,-1.7191708,-1.7218795,-1.7532182,-1.7880082,-1.8022907,-1.7940688,-1.7826558,-1.7514929,-1.7440374,-1.6356138,-1.4666698,-1.0843577,-0.6195624,-0.24819596,-0.016514271,0.050640672,0.23163116,1.0739747,2.145451,3.352696,3.9127707,3.6311877,2.8078458,2.4008222,2.2275865,2.1165671,2.099382,1.5591367,1.1201497,0.8261075,0.5535818,0.2316734,-0.18240494,-0.56596166,-0.00045584142,0.21490732,-0.15212876,-0.5241311,-0.8170534,-0.52333283,-0.22454546,0.22774369,0.5979592,0.87224925,0.99236286,0.89290893,0.61451364,0.22658795,-0.09701523,-0.30245975,-0.29431537,-0.1925645,-0.20351467,-0.19567958,-0.123444185,0.023620024,0.16785057,0.47808948,0.7618979,1.2140129,1.675842,2.105534,2.7252831,3.6135266,4.3473516,4.7503734,5.084032,5.63749,6.065156,6.461396,6.404847,6.583564,6.3636413,6.5758696,6.8468704,7.251743,7.4175005,7.526149,7.814572,8.192219,8.9742775,9.105089,9.408157,9.4544935,9.119947,9.119859,9.119825
-2.3301744,-2.3883529,-2.4174812,-2.5071115,-2.5325806,-2.4182322,-2.3172362,-2.237713,-2.3039408,-2.7428164,-3.051224,-3.1580434,-3.0206404,-2.8743315,-2.8925707,-3.015049,-3.3051553,-3.2244282,-3.0445614,-3.0656815,-3.4226766,-3.6599312,-3.8687005,-3.6411462,-3.8501995,-4.1095667,-3.9881635,-3.7896633,-3.594112,-3.4225998,-3.198831,-3.0077605,-2.9332604,-2.9038706,-2.8069801,-2.779054,-2.7695894,-2.7440472,-2.781292,-2.8299088,-1.8333946,-1.1410217,-1.1141644,-1.1967822,-1.2314177,-0.90075,-0.6037411,-0.5131995,-0.29794827,-0.25663307,-0.19619444,-0.38438332,-0.49541277,-1.0006156,-2.0777938,-1.866811,-1.2393303,-1.0538715,-0.9423736,-0.93283474,-0.91145164,-0.8888239,-0.8450161,-0.7602199,-0.7226109,-0.63619065,-0.567137,-0.5478393,-0.47709394,-0.42508066,-0.33518606,-0.2670102,-0.2511224,-0.27869487,-0.09620762,0.06257433,-0.11714408,0.35588574,0.59240115,0.37107086,-0.15937252,-0.5339343,-0.5274352,-0.599694,-0.36346143,0.2666083,0.41289747,0.109804824,-0.13514476,-0.2645814,-0.40582907,-0.5971046,-0.28556406,-0.8381262,-0.7418448,-0.37345964,-0.35209978,-0.5303116,-0.034914464,0.59720385,0.8401436,1.20711,0.95903397,0.23852879,-0.32694706,-0.8861631,-1.6368194,-1.9346226,-2.142459,-2.365854,-2.7747731,-3.1302404,-3.438385,-3.5968556,-3.6516895,-3.6000776,-3.4511843,-3.2002778,-2.92299,-2.6484168,-2.4549685,-2.4166393,-2.5698924,-2.7067227,-2.7633412,-2.7125342,-2.6806111,-2.6517696,-2.6245909,-2.5814233,-2.5318432,-2.6379082,-2.715348,-2.806289,-2.8545585,-2.9019728,-2.8577988,-2.7569914,-2.6264734,-2.4364762,-2.188198,-2.0630455,-2.10781,-2.003038,-1.3374249,-1.3368428,-1.3368685
-0.61734396,-0.5278068,-0.4961567,-0.5737118,-0.7348235,-0.848253,-0.9493119,-0.9408624,-0.8722785,-0.6801635,-0.62445974,-0.703537,-0.9596667,-1.2130874,-1.4075371,-1.4586145,-1.6030514,-2.0968294,-2.7177286,-3.1851993,-3.2250967,-3.114616,-2.8703907,-2.0271747,-1.7191823,-1.1676399,-0.71134484,-0.45755494,-0.232016,0.07075392,0.059323788,-0.08578391,-0.14921087,-0.14402601,-0.04784389,-0.049668685,-0.05650811,-0.017681852,0.0013892353,0.07523304,-0.6771323,-0.86418205,-0.8693205,-0.9999106,-1.0511115,-0.9831346,-1.2908958,-1.5128235,-1.5024762,-1.6989083,-2.1363182,-2.3139687,-2.4460125,-2.6715536,-2.3131762,-1.693767,-1.9822607,-2.5232573,-2.7972927,-2.9018183,-2.9765477,-2.9948454,-2.981042,-2.9840155,-3.0031881,-3.031176,-3.061256,-3.0882769,-3.1365292,-3.1939836,-3.2713704,-3.434223,-3.5664005,-3.651475,-3.478706,-2.9547572,-2.6019726,-3.1563244,-2.8561249,-2.2297158,-1.6221356,-1.477798,-1.5972688,-1.6563783,-1.7746444,-2.461916,-2.8314705,-2.8918986,-2.8825095,-3.0186176,-3.1382556,-3.1989393,-3.226903,-2.7614107,-2.6463597,-2.4386797,-2.5826995,-2.6614282,-2.5583663,-2.553247,-2.669177,-2.656756,-2.636193,-2.5946245,-2.565764,-2.539916,-2.5063097,-2.3955708,-2.1952562,-2.0987163,-2.1205637,-2.225991,-2.3856494,-2.6048164,-2.9053066,-3.1918,-3.4638298,-3.7404592,-3.9045756,-3.984242,-3.9253054,-3.6189132,-3.0966616,-2.6029215,-2.362248,-2.2202108,-2.0883622,-1.9703505,-1.9025178,-1.9543247,-2.0148566,-1.9508224,-2.0027041,-1.843969,-1.7210063,-1.6249745,-1.737004,-1.693417,-1.6582954,-1.7433395,-1.8250198,-1.8127269,-1.7565713,-1.7554164,-0.54106015,-0.53979063,-0.53993946
-1.6681323,-1.6996139,-1.6687187,-1.6414598,-1.3531895,-1.189558,-1.0256625,-0.9339999,-0.89878213,-1.0562426,-1.0619633,-1.0109789,-0.91898453,-0.8972215,-0.8886452,-0.85435677,-0.7371412,-0.7820661,-1.4678111,-2.0864418,-2.446342,-2.3563426,-1.878936,-2.0405483,-2.386827,-2.8598619,-2.817297,-2.6573553,-2.5251946,-2.4877481,-2.470076,-2.5034487,-2.5140903,-2.500039,-2.4603002,-2.3823233,-2.1831837,-1.9277627,-1.5795207,-0.9737654,-0.45079327,-0.32656306,-0.29721674,-0.39865628,-0.57992315,-0.85082734,-1.1455332,-0.88080066,-0.53084606,-0.12198883,0.33860937,0.44437706,0.40122747,0.46690327,0.40462035,0.39683625,0.101953626,-0.32325464,-0.46277258,-0.55368054,-0.57512116,-0.55333793,-0.47813708,-0.3475715,-0.2874718,-0.22501983,-0.13147752,-0.117875084,-0.0056569874,0.096227705,0.22530037,0.52796763,0.9695747,1.6511906,3.7783685,6.994996,10.027911,11.746438,11.838472,11.6276,11.339489,11.080386,10.908692,10.278206,9.249294,7.178873,4.9250493,2.382106,1.5154421,0.8068828,0.006458342,-0.7706433,-0.62988216,0.49113622,1.6696155,2.0199468,1.8065965,1.4239271,0.6373479,-0.36385116,-0.392797,0.2774699,0.7758274,0.9937577,0.9401809,0.7407565,0.09798793,-0.250358,-0.4561233,-0.6270523,-0.734409,-0.7996435,-0.88162726,-0.8986863,-1.0296435,-1.3172759,-1.4845579,-1.5490868,-1.553448,-1.5223988,-1.4593852,-1.3708602,-1.4699988,-1.7035654,-1.7684773,-1.7064036,-1.6665117,-1.7016747,-1.6462855,-1.6043943,-1.5974989,-1.7616739,-1.776295,-1.7758744,-1.7982082,-1.9116951,-1.8478466,-1.6842644,-1.5802817,-1.4382762,-1.2671794,-1.1159275,-1.1645808,-1.1278099,-0.029419214,-0.027984142,-0.028029233
-0.09192497,-0.18923238,-0.44430685,-0.91838175,-1.4289842,-1.4567502,-1.4816594,-1.6302698,-1.6332481,-1.5374825,-1.6793139,-1.7739234,-1.9675027,-2.3837495,-2.7480357,-2.6918943,-2.0270662,-0.37517467,0.8659011,1.2255869,1.0630568,0.75800246,-0.7783357,-2.6910462,-2.683659,-2.2617137,-2.0938087,-2.2804992,-2.4206166,-2.444048,-2.3591816,-2.1915343,-2.1715965,-2.1989565,-2.1973543,-2.1237464,-1.7840871,-1.3588834,-0.9674356,-0.6324023,-0.5467555,-0.858564,-1.0001348,-0.91907674,-0.46700284,-0.10159517,0.11694248,0.07744193,-0.2090375,-0.44476834,-0.1687986,0.36896944,1.0035872,1.7289087,2.5967827,2.7776709,3.1401455,3.6047351,3.7358322,3.7881145,3.8503058,3.8516457,3.8174944,3.7588172,3.7088752,3.6591206,3.587471,3.5697322,3.4981833,3.4109519,3.3475816,3.321277,3.2642205,3.1329172,2.572576,1.6951904,0.65937734,-0.11417556,-0.24441472,-0.37274846,-0.32549393,-0.3286263,-0.26673317,-0.12175134,-0.052464455,1.2434611,2.1545825,2.947947,3.148655,3.2800527,3.3206506,3.0270767,1.9867885,0.18155745,-1.085825,-1.5174654,-1.2464467,-1.086304,-1.1356161,-0.91876584,-1.0367279,-1.4656477,-1.8266408,-2.2601209,-2.4352133,-2.5718827,-2.829253,-2.5648823,-2.2399082,-2.0031059,-1.8013222,-1.6636873,-1.3234301,-0.7324667,0.08582708,0.75880206,1.2267146,1.5540488,1.6572629,1.6754229,1.4447234,0.8591455,-0.05326067,-0.66509295,-0.7970077,-0.8793125,-0.9695239,-0.9697432,-0.8649093,-0.76702356,-0.8383435,-0.9245416,-0.9549106,-1.0802605,-1.1352795,-1.0310495,-1.0199583,-1.1226035,-1.2480955,-1.1292412,-0.852003,-0.66509694,-0.78850645,-0.9394723,0.17927372,0.178855,0.17885385
-1.9011226,-2.0014014,-1.931706,-1.7902789,-1.4784606,-1.3161843,-1.2647183,-1.1468036,-1.0122255,-0.7303486,-0.25424117,0.14493838,0.41689014,0.6003236,0.7726256,1.0200843,0.6151773,0.19076762,0.13855022,-0.076102495,-0.7764039,-1.1891261,-1.3679278,-2.2669306,-2.502214,-2.3198407,-2.4133673,-2.4022224,-2.39784,-2.4073653,-2.4788096,-2.5759137,-2.5895598,-2.5998423,-2.5579538,-2.5066185,-2.3905773,-2.1644118,-1.7469842,-1.047487,-0.36277562,1.2094694,3.3871558,5.179551,7.6149096,9.082309,9.541601,9.592032,9.266063,8.198716,4.4730988,1.8259146,0.8458798,0.38792282,-0.7062026,-0.32798713,0.43341574,0.500939,0.37230265,0.26657915,0.08644953,0.022709236,-0.046465397,-0.099325284,-0.110880524,-0.19945197,-0.33238083,-0.39965838,-0.50606686,-0.6231899,-0.74873674,-0.83856493,-0.85150504,-0.8405231,-1.1950663,-1.937699,-2.2129924,-1.3917134,-1.3566278,-0.89612883,-0.6591884,-0.26148367,0.04604119,0.16356638,0.002492074,-0.073154435,-0.4276748,-0.7166823,-0.784407,-0.75754005,-0.5562118,-0.0708389,0.90504956,1.722731,2.7242575,2.5208633,2.596035,1.7424066,0.5935565,-0.56689584,-0.91081667,-1.0024242,-0.9440717,-0.5750796,-0.29009804,0.14713082,0.92855066,1.0254407,0.9722753,0.9363226,0.92472607,0.93920857,0.96472716,1.0504217,1.3605518,1.7544996,2.4683025,3.7461965,4.8710337,5.796851,6.615274,7.172126,7.231189,7.1068153,7.0028253,7.047579,7.109021,7.074904,7.0975876,7.165099,7.208284,7.2988358,7.2927227,7.3404155,7.349021,7.2821198,7.2782326,7.2273026,7.0936017,6.8877606,6.4107037,6.240839,6.1036854,6.034884,4.3999,4.3961835,4.3965483
-1.5808729,-1.755666,-1.9047992,-2.0601478,-1.9985049,-1.9001205,-1.7819815,-1.6817241,-1.6887425,-1.6898082,-1.5625159,-1.1785594,-0.67206115,0.08968574,0.7383758,1.0928406,0.8022038,0.1660434,0.31228697,0.5661011,0.3908528,0.335604,0.96146196,0.35648322,-0.38279632,-1.2083485,-1.4362316,-1.3411684,-1.2320751,-1.1215122,-0.95733523,-0.70295984,-0.48521474,-0.35772258,-0.13445821,-0.11996044,-0.037719965,0.04951167,0.33569682,1.0285189,2.9077682,3.8845425,4.1498604,4.104458,3.9129367,3.66862,2.9380734,1.8974266,1.0600412,0.2676253,-0.6798597,-1.1526307,-1.348965,-1.2456669,-1.082681,-0.87183523,-0.78641295,-0.7305194,-0.6210401,-0.56800914,-0.56617546,-0.57095796,-0.6313735,-0.6832471,-0.6753559,-0.6842624,-0.6637111,-0.66177917,-0.6619462,-0.6390728,-0.64103985,-0.65600634,-0.70723945,-0.77521574,-1.2206639,-1.7955773,-1.3727801,-0.4955406,-0.67768896,-0.92222863,-0.97270864,-0.80720854,-0.55660164,-0.16831753,0.142078,0.38590598,0.16647173,0.10705571,0.14562789,0.18217951,0.1979184,0.17506519,-0.40408194,-0.7734586,-1.1004195,-1.3391036,-0.8977849,-0.40288484,0.85020894,2.1301575,2.657261,3.2545395,3.2035751,3.0603743,3.282884,3.9021173,4.947081,5.1527624,5.0310707,4.9572563,4.6905937,4.411245,4.0147862,3.5786538,3.0798028,2.715628,2.317434,1.7466537,1.3075767,0.7361872,-0.001309298,-0.9326895,-1.9633874,-2.654451,-2.9865284,-3.0574217,-3.0932913,-3.2361863,-3.2998397,-3.2488623,-3.1270113,-3.0821562,-3.0600142,-3.1287909,-3.184177,-3.222978,-3.0928977,-3.1154475,-3.154713,-3.1270628,-3.051748,-3.1263018,-2.9564414,-2.8468869,-2.5769534,-2.5743651,-2.5746086
-0.41726822,-0.48167664,-0.4953366,-0.5016653,-0.37990335,-0.32688192,-0.2735007,-0.23907664,-0.29934657,-0.54335165,-0.5769507,-0.40088135,-0.043557752,0.13909167,0.07527369,-0.36743066,-0.76657856,-1.3491288,-1.7402585,-1.5953579,-1.1230309,-0.7510087,-0.32776314,-0.28946516,-0.5012072,-0.8592175,-1.1244285,-1.2003217,-1.4997101,-1.7985613,-1.937028,-1.8341069,-1.9266478,-1.9149251,-1.7451079,-1.4956936,-1.0565069,-0.636056,-0.28168756,-0.18455192,-0.13234545,-0.27464348,-0.8150009,-1.168741,-1.1627196,0.21465401,3.2734187,6.055833,7.776186,9.218396,10.869277,11.22304,11.43239,11.709398,11.558292,9.938669,7.777281,5.97069,4.9954276,4.398942,3.8664627,3.5759175,3.5698423,3.6274924,3.5497162,3.5298731,3.4301715,3.3320575,3.2688818,3.1311028,2.9517794,2.5643835,2.2543893,1.9576427,2.0958285,1.7533636,0.6920213,1.4597104,2.14091,1.8998349,1.0565081,0.3520147,0.124778956,-0.4564395,-0.37300777,0.17494525,0.58243734,0.7647504,0.8770445,1.1716133,1.4129671,2.0331252,6.3029146,9.014322,10.06683,10.078073,9.897866,9.0968075,7.5736237,4.5414343,3.430521,2.3672717,1.7498293,0.9385393,0.36313286,-0.008876525,-0.41120166,-0.57873476,-0.7738677,-0.98334134,-1.2570744,-1.448623,-1.5229161,-1.476396,-1.2687564,-1.1039546,-0.746102,-0.06500417,0.55960506,1.2778915,2.0694535,2.7634358,2.8867233,2.5355308,2.407996,2.4260302,2.3521266,2.1759827,2.1701832,2.0807734,2.154283,1.8006716,1.8239534,1.6010587,1.401449,1.1745272,1.1494814,1.3614347,1.4169004,1.4675485,1.249874,1.389928,1.0225401,0.96843135,0.99594104,0.9954238,0.99549043
-1.1968826,-1.2822658,-1.349995,-1.4260825,-1.4662048,-1.5554636,-1.5836148,-1.4988236,-1.4683326,-1.5230432,-1.4869204,-1.4159257,-1.255291,-0.94850314,-0.6635937,-0.88084924,-1.0509119,-1.3805689,-1.5627035,-1.7216709,-1.9056139,-1.9351269,-1.8746908,-1.7325417,-2.03722,-2.1295142,-1.9754326,-1.7619731,-1.608466,-1.5235322,-1.267346,-1.081437,-0.9471817,-0.92717326,-0.72771186,-0.5985934,-0.5318521,-0.48335907,-0.3063702,-0.118134916,0.016845495,-0.23855126,-0.25597245,-0.20874918,-0.31263724,-0.5358803,-0.7549351,-0.84854597,-0.9384732,-1.0015674,-1.0163617,-0.944957,-1.2870452,-1.5319355,-1.6810055,-1.0948579,-0.16030815,0.89019406,1.5164634,1.7418623,1.9149206,1.9860926,1.9745789,1.9675281,2.020405,2.06792,2.140797,2.154745,2.203411,2.2950823,2.3151915,2.1816354,2.0142992,1.7168221,1.1578602,-0.001527682,-0.8533225,-0.320611,-0.0651115,-0.40797195,-0.71197116,-0.94457066,-0.9669439,-0.9023412,-0.48687464,0.23632026,0.6561196,1.0409157,1.1432964,1.4120119,1.6448843,1.8332431,1.8955624,1.4268266,1.5215657,2.020593,3.784562,6.56224,8.8243885,9.77776,9.819631,9.580613,9.208022,8.629283,7.632777,5.799391,2.4644675,0.9463188,0.04153993,-0.43869042,-0.45936802,-0.2861302,-0.04202185,0.20250367,0.44950467,0.68893754,0.8918551,0.95884347,0.9084022,0.6485941,0.21094134,-0.22576833,-0.3486733,-0.33307236,-0.52583563,-0.6564232,-0.7245456,-0.8318947,-0.99757844,-1.0505401,-0.8798989,-0.71600616,-0.60267276,-0.72871065,-0.7715725,-0.7962568,-0.7129698,-0.86181223,-0.9141325,-1.0665889,-1.5238203,-1.7959428,-1.7672114,-1.7808764,-2.1735866,-2.1744657,-2.1744568
-2.6840208,-2.594009,-2.4967592,-2.231417,-2.0778797,-1.9210732,-1.8667102,-1.9667015,-1.9661083,-2.0709589,-2.181452,-2.2114494,-2.2554886,-2.2262022,-2.2181387,-1.9677906,-1.5878261,-0.9924857,-0.6924429,-0.6513002,-1.2283559,-2.1334155,-3.6949883,-4.382837,-4.026695,-3.3583937,-3.0600512,-2.9931772,-2.889722,-2.9082541,-2.8651845,-2.8222594,-2.7705622,-2.868928,-2.908299,-2.9126537,-2.7215822,-2.4840775,-2.4104934,-1.8872166,-0.726611,0.27157694,1.0139072,1.3015401,1.2115678,0.48326805,-0.4836663,-1.226006,-1.9041022,-2.2616765,-2.3098905,-2.083852,-1.7863338,-1.4529748,-1.2344294,-0.812361,-0.47603434,-0.22714518,-0.2275202,-0.17777747,-0.22054249,-0.29003036,-0.35050997,-0.43532714,-0.5037413,-0.5685464,-0.67678237,-0.7184551,-0.80262876,-0.9344168,-1.0389655,-1.2355514,-1.4503853,-1.596438,-1.8139355,-1.9740372,-2.9509578,-3.6854358,-3.4623578,-2.8832939,-2.1837957,-1.6406827,-1.3122505,-1.0350504,-1.2314737,-0.75188553,-0.40929094,-0.026171863,0.048872948,-0.04109636,-0.10975587,-0.17598948,-0.6071961,-1.5858855,-2.2524126,-1.9468733,-1.6635343,-1.7611291,-1.6598843,-1.5003024,-1.5327039,-1.8011737,-1.973665,-2.116715,-2.1363199,-2.0134773,-1.747386,-1.4173874,-1.247901,-1.1835046,-1.1664001,-1.0873462,-1.0145326,-0.9288929,-0.84682107,-0.77967227,-0.81247807,-1.0350382,-1.3768376,-1.8098463,-2.2820454,-2.792634,-3.1453538,-3.2321382,-3.195716,-3.1252685,-3.039654,-2.9260979,-2.7607574,-2.6162014,-2.70373,-2.751758,-2.8563147,-2.8781285,-2.8237207,-2.7380834,-2.704634,-2.789729,-2.9068189,-2.8724852,-2.5299182,-2.3261273,-2.3247576,-2.35151,-2.5117075,-2.5130312,-2.5129023
